source,group,date,type,site_category,gap,event,venue,venue_hint,has_poster,timetree_url,official_detail_url,note_preview
official,equal-love,2025-07-18,Festival,ライブ/イベント,no_venue,「いのちのうたフェス２０２５ 平和がいいに決まっている！」公開収録,,,,,https://equal-love.jp/schedule/detail/9969,
official,equal-love,2025-08-01,Festival,ライブ/イベント,no_venue,「コカ･コーラ SUMMER FES 音楽LIVE」,,,,,https://equal-love.jp/schedule/detail/10042,
official,equal-love,2025-08-06,Concert,ライブ/イベント,no_venue,「KANSAI COLLECTION 2025 AUTUMN &amp; WINTER」,,,,,https://equal-love.jp/schedule/detail/9952,
official,equal-love,2025-08-13,Concert,ライブ/イベント,no_venue,「SASUKE アイドル予選会2025―出場権争奪バトル―」,,,,,https://equal-love.jp/schedule/detail/10070,
official,equal-love,2025-08-13,Concert,ライブ/イベント,no_venue,『＋LIVE2 ～＝LOVE＆芸人 MUSIC DAY～』,,,,,https://equal-love.jp/schedule/detail/10029,
official,equal-love,2025-09-17,Concert,ライブ/イベント,no_venue,「広島東洋カープ 対 阪神タイガース戦」始球式,,,,,https://equal-love.jp/schedule/detail/10287,
official,equal-love,2025-09-20,Festival,ライブ/イベント,no_venue,「イナズマロック フェス 2025」,,,,,https://equal-love.jp/schedule/detail/10156,
official,equal-love,2025-09-22,Concert,ライブ/イベント,no_venue,「北海道日本ハムファイターズ 千葉ロッテマリーンズ戦」,,,,,https://equal-love.jp/schedule/detail/9984,
official,equal-love,2025-10-18,Concert,ライブ/イベント,no_venue,「Rakuten GirlsAward 2025 AUTUMN/WINTER」,,,,,https://equal-love.jp/schedule/detail/10330,
official,equal-love,2025-11-09,Concert,ライブ/イベント,no_venue,「高木豊のプロ野球大会議2025in横浜」,,,,,https://equal-love.jp/schedule/detail/10597,
official,equal-love,2025-12-05,Concert,ライブ/イベント,no_venue,「東京クリスマスマーケット 2025 in 芝公園（御成門駅前広場）オープニングセレモニー」,,,,,https://equal-love.jp/schedule/detail/10905,
official,equal-love,2025-12-14,Festival,ライブ/イベント,no_venue,「GOBOU FES. 2025 -吉田尚記 50th Anniversary-」,,,,,https://equal-love.jp/schedule/detail/10384,
official,equal-love,2026-01-07,Festival,ライブ/イベント,no_venue,「まって、ムリ！Fes 〜 二次通 from 夜な夜なプロジェクト〜」公開収録 Vol.3,,,,,https://equal-love.jp/schedule/detail/10876,
official,equal-love,2026-01-09,Concert,ライブ/イベント,no_venue,メギド７２ 1st XR Live『幻境エンタングル -交錯する運命-』ネフィリム役,,,,,https://equal-love.jp/schedule/detail/11054,
official,equal-love,2026-01-12,Concert,ライブ/イベント,no_venue,TVアニメ「勇者パーティーにかわいい子がいたので、告白してみた。」キャスト舞台挨拶付き先行上映会,,,,,https://equal-love.jp/schedule/detail/10883,
official,equal-love,2026-01-24,Concert,ライブ/イベント,no_venue,LAWSON 50th Anniversary presents ＝LOVE・≠ME・≒JOY Special LIVE,,,,,https://equal-love.jp/schedule/detail/10308,
official,equal-love,2026-03-07,Concert,ライブ/イベント,no_venue,「CDTVライブ！ライブ！春の大感謝祭2026」,,,,,https://equal-love.jp/schedule/detail/11021,
official,equal-love,2026-03-12,Concert,ライブ/イベント,no_venue,一般社団法人広島イベント事業振興協会主催『新アリーナ整備に向けた機運醸成プロジェクト第３弾「新アリーナが広島の未来を創造する ～ひろしまで楽しみ、働き、暮らす ～」』,,,,,https://equal-love.jp/schedule/detail/11213,
official,equal-love,2026-04-03,Festival,ライブ/イベント,no_venue,『CENTRAL MUSIC &amp; ENTERTAINMENT FESTIVAL 2026』,,,,,https://equal-love.jp/schedule/detail/11136,
