group_uid,group_name,name_romanji,formed_date_raw,gap_missing_or_invalid_formed_date,gap_empty_song_uids,gap_empty_discography,discography_row_count,disc_rows_empty_track_list,disc_rows_empty_track_song_uids,member_count_field,member_names_count,member_uids_nonempty_count,gap_roster_no_nonempty_uids,gap_roster_uids_short_of_names,wiki_url_missing_or_blank,agencies_missing_or_empty,all_disc_rows_missing_track_list,all_disc_rows_missing_track_song_uids,gap_flags_summary
44Ki44Kt44K344OWcHJvamVjdA,アキシブproject,Akishibu project,2012-10-05,0,0,0,8,5,7,7,7,7,0,0,0,0,0,0,disc_empty_track_list×5;disc_empty_track_song_uids×7
TElOSyBTVEFSVA,LINK START,Link_start,2023-03-11,0,0,0,2,2,2,6,6,6,0,0,0,1,1,1,disc_empty_track_list×2;disc_empty_track_song_uids×2;no_agencies
QmlT,BiS,BiS,,1,0,0,39,39,39,0,0,0,0,0,0,0,1,1,formed_date;disc_empty_track_list×39;disc_empty_track_song_uids×39
54WM44KB44GN4piG44Ki44Oz44OV44Kp44Os44Oz44OI,煌めき☆アンフォレント,Kirameki☆Unforent,2015-10-31,0,0,0,16,11,16,7,7,7,0,0,0,0,0,1,disc_empty_track_list×11;disc_empty_track_song_uids×16
QlBNMTVR/#google_vignette,BPM15Q,BPM15Q,2016-01-01,0,0,0,9,7,9,2,2,2,0,0,0,1,0,1,disc_empty_track_list×7;disc_empty_track_song_uids×9;no_agencies
QkxVRUdPQVRT,BLUEGOATS,BLUEGOATS,2021-11-07,0,0,0,28,28,28,4,4,4,0,0,0,1,1,1,disc_empty_track_list×28;disc_empty_track_song_uids×28;no_agencies
SElCQU5B,HIBANA,HIBANA,,1,0,0,10,10,10,5,5,5,0,0,0,1,1,1,formed_date;disc_empty_track_list×10;disc_empty_track_song_uids×10;no_agencies
44KG44KL44KB44KL44Oi77yB,ゆるめるモ！,,,1,0,0,44,44,44,6,6,6,0,0,0,1,1,1,formed_date;disc_empty_track_list×44;disc_empty_track_song_uids×44;no_agencies
6aKo55S35aG-,風男塾,Fudanjuku,,1,0,0,48,46,48,10,10,7,0,1,0,0,0,1,formed_date;disc_empty_track_list×46;disc_empty_track_song_uids×48;roster_uids_short
44K344Oz44OH44Os44Op5a6j6KiA77yB,シンデレラ宣言！,Cinderella_Sengen!,2020-11-01,0,0,0,51,27,51,16,16,16,0,0,0,1,0,1,disc_empty_track_list×27;disc_empty_track_song_uids×51;no_agencies
S29sb2tvbA,Kolokol,Kolokol,2018-01-01,0,0,0,15,7,15,4,4,4,0,0,0,1,0,1,disc_empty_track_list×7;disc_empty_track_song_uids×15;no_agencies
UXV1Ymk,Quubi,Quubi,2021-09-26,0,0,0,30,24,30,4,4,4,0,0,0,0,0,1,disc_empty_track_list×24;disc_empty_track_song_uids×30
Q2lPTg,CiON,CiON,2016-10-01,0,0,0,16,16,16,5,5,5,0,0,0,0,1,1,disc_empty_track_list×16;disc_empty_track_song_uids×16
TUFQQQ,MAPA,MAPA,2021-09-25,0,0,0,9,7,9,6,6,6,0,0,0,0,0,1,disc_empty_track_list×7;disc_empty_track_song_uids×9
bHlyaWNhbCBzY2hvb2w,Lyrical School,Lyrical_school,2010-10-01,0,0,0,47,27,47,17,17,16,0,1,0,0,0,1,disc_empty_track_list×27;disc_empty_track_song_uids×47;roster_uids_short
57SU5oOF44Gu44Ki44OV44Kj44Oq44Ki,純情のアフィリア,,,1,0,0,25,25,25,8,8,8,0,0,0,1,1,1,formed_date;disc_empty_track_list×25;disc_empty_track_song_uids×25;no_agencies
TGluUQ,LinQ,LinQ,2011-01-01,0,0,0,27,21,27,8,8,8,0,0,0,0,0,1,disc_empty_track_list×21;disc_empty_track_song_uids×27
U0lUVUFTSU9O,SITUASION,Situasion,,1,0,0,31,18,31,5,5,5,0,0,0,0,0,1,formed_date;disc_empty_track_list×18;disc_empty_track_song_uids×31
VEhFIE9SQ0hFU1RSQSBUT0tZTw,THE ORCHESTRA TOKYO,THE_ORCHESTRA_TOKYO,2021-02-27,0,0,0,32,31,32,5,5,5,0,0,0,0,0,1,disc_empty_track_list×31;disc_empty_track_song_uids×32
6KGb5pif44Go44Kr44Op44OG44Ki,衛星とカラテア,Eisei_to_Karatea,2021-06-21,0,0,0,13,12,13,5,5,5,0,0,0,0,0,1,disc_empty_track_list×12;disc_empty_track_song_uids×13
5aSi44G_44KL44Ki44OJ44Os44K744Oz44K5,夢みるアドレセンス,,,1,0,0,36,36,36,6,6,6,0,0,0,1,1,1,formed_date;disc_empty_track_list×36;disc_empty_track_song_uids×36;no_agencies
44KG44GP44GI44GX44KM44Ga44Gk44KM44Gl44KM,ゆくえしれずつれづれ,,2015-11-01,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,empty_song_uids;empty_discography;no_agencies
44Of44O844Og44OI44O844Kt44On44O8,ミームトーキョー,,,1,0,0,28,28,28,5,5,5,0,0,0,1,1,1,formed_date;disc_empty_track_list×28;disc_empty_track_song_uids×28;no_agencies
UmluZ3dhbmRlcnVuZw,Ringwanderung,Ringwanderung,2019-11-23,0,0,0,67,63,67,5,5,5,0,0,0,0,0,1,disc_empty_track_list×63;disc_empty_track_song_uids×67
THVjZSBUd2lua2xlIFdpbmvimIY,Luce Twinkle Wink☆,Luce_Twinkle_Wink☆,2014-08-01,0,0,0,13,12,13,6,6,6,0,0,0,0,0,1,disc_empty_track_list×12;disc_empty_track_song_uids×13
TEVJV0FO,LEIWAN,LEIWAN,2018-01-01,0,0,0,57,32,57,3,3,3,0,0,0,0,0,1,disc_empty_track_list×32;disc_empty_track_song_uids×57
RUdSe-OBiOOBkOOCi30,民族ハッピー組,Happy_People_Party,2015-02-01,0,0,0,1,1,1,12,12,11,0,1,0,1,1,1,disc_empty_track_list×1;disc_empty_track_song_uids×1;roster_uids_short;no_agencies
55yf44Gj55m944Gq44Kt44Oj44Oz44OQ44K5,真っ白なキャンバス,Masshiro_na_Canvas,2017-09-01,0,0,0,11,3,11,7,7,7,0,0,0,0,0,1,disc_empty_track_list×3;disc_empty_track_song_uids×11
I-ODkOODkOODkOODkOODs-ODkw,#ババババンビ,,2020-01-30,0,0,0,32,6,32,7,7,6,0,1,0,1,0,1,disc_empty_track_list×6;disc_empty_track_song_uids×32;roster_uids_short;no_agencies
SWxs,Ill,Ill,2021-08-27,0,0,0,6,6,6,4,4,4,0,0,0,0,1,1,disc_empty_track_list×6;disc_empty_track_song_uids×6
44Kv44Oe44Oq44OH44OR44O844OI,クマリデパート,,,1,0,0,26,26,26,6,6,6,0,0,0,1,1,1,formed_date;disc_empty_track_list×26;disc_empty_track_song_uids×26;no_agencies
44GK44GT44GV44G-44G344KM44Cc44Go44CC,おこさまぷれ〜と。,Zero_Project,,1,0,0,3,3,3,1,1,1,0,0,0,0,1,1,formed_date;disc_empty_track_list×3;disc_empty_track_song_uids×3
44GN44Gu44Ob44CC,きのホ。,Ho?,,1,0,0,14,14,14,5,5,5,0,0,0,1,1,1,formed_date;disc_empty_track_list×14;disc_empty_track_song_uids×14;no_agencies
44Op44Kk44K544Oc44O844Or,ライスボール,,2015-09-01,0,0,0,6,2,6,5,5,3,0,1,0,1,0,1,disc_empty_track_list×2;disc_empty_track_song_uids×6;roster_uids_short;no_agencies
UGFsZXR0ZSBQYXJhZGU,Palette Parade,Palette_Parade,2021-09-05,0,0,0,12,6,12,7,7,7,0,0,0,0,0,1,disc_empty_track_list×6;disc_empty_track_song_uids×12
U3dlZXQgQWxsZXk,Sweet Alley,Sweet_Alley,2019-05-19,0,0,0,8,7,8,8,8,8,0,0,0,0,0,1,disc_empty_track_list×7;disc_empty_track_song_uids×8
44Kv44Op44Op44O744Oe44Kw44Op,クララ・マグラ,,2023-10-01,0,0,0,25,22,25,8,8,8,0,0,0,1,0,1,disc_empty_track_list×22;disc_empty_track_song_uids×25;no_agencies
dWlqaW4,uijin,Uijin,2016-12-03,0,0,0,23,20,23,5,5,5,0,0,0,0,0,1,disc_empty_track_list×20;disc_empty_track_song_uids×23
UEFOREFNSUM,PANDAMIC,,2016-06-01,0,0,0,3,0,3,5,5,5,0,0,0,1,0,1,disc_empty_track_song_uids×3;no_agencies
44G_44GG44G_44GK,みうみお,Miumio,2022-12-18,0,0,0,2,1,2,2,2,2,0,0,0,0,0,1,disc_empty_track_list×1;disc_empty_track_song_uids×2
44K344Ol44Os44O844OH44Kj44Oz44Ks44O844Gu54qs,シュレーディンガーの犬,Schrödinger_no_Inu,2020-11-01,0,0,0,40,39,40,10,10,9,0,1,0,0,0,1,disc_empty_track_list×39;disc_empty_track_song_uids×40;roster_uids_short
WU9MT1o,YOLOZ,YOLOZ,2024-01-04,0,0,0,13,12,13,5,5,4,0,1,0,0,0,1,disc_empty_track_list×12;disc_empty_track_song_uids×13;roster_uids_short
emFua2E,zanka,Zanka,2023-04-01,0,0,0,4,2,4,9,9,8,0,1,0,0,0,1,disc_empty_track_list×2;disc_empty_track_song_uids×4;roster_uids_short
44Od44Oz44Kz44OE44Kz44Oz44Od,ポンコツコンポ,Ponkotsu_Konpo,2019-08-16,0,0,0,4,2,4,4,4,4,0,0,0,0,0,1,disc_empty_track_list×2;disc_empty_track_song_uids×4
QVE,AQ,AQ,2024-10-12,0,0,0,8,4,8,4,4,4,0,0,0,1,0,1,disc_empty_track_list×4;disc_empty_track_song_uids×8;no_agencies
QXNJcw,AsIs,AsIs,2024-03-29,0,0,0,10,10,10,7,7,7,0,0,0,1,1,1,disc_empty_track_list×10;disc_empty_track_song_uids×10;no_agencies
VG9oa2Vp,Tohkei,Tohkei,2023-07-06,0,0,0,6,6,6,4,4,4,0,0,0,0,1,1,disc_empty_track_list×6;disc_empty_track_song_uids×6
5pyI5YiKUEFN,月刊PAM,,,1,0,0,47,31,47,2,2,2,0,0,0,1,0,1,formed_date;disc_empty_track_list×31;disc_empty_track_song_uids×47;no_agencies
QU9BTw,AOAO,AOAO,2024-06-27,0,0,0,21,21,21,8,8,8,0,0,0,1,1,1,disc_empty_track_list×21;disc_empty_track_song_uids×21;no_agencies
Rk9LQUxJVEU,FOKALITE,FOKALITE,,1,0,0,14,1,14,4,4,4,0,0,0,0,0,1,formed_date;disc_empty_track_list×1;disc_empty_track_song_uids×14
TWVsdHkgQmVhUg,Melty BeaR,Melty_BeaR,2024-09-01,0,0,0,2,2,2,6,6,6,0,0,0,1,1,1,disc_empty_track_list×2;disc_empty_track_song_uids×2;no_agencies
RlJVSVRQT0NIRVRURQ,FRUITPOCHETTE,FRUITPOCHETTE,2012-12-23,0,0,0,16,6,16,3,3,3,0,0,0,0,0,1,disc_empty_track_list×6;disc_empty_track_song_uids×16
TlVBTkNF,NUANCE,NUANCE,2017-03-01,0,0,0,15,2,15,7,7,6,0,1,0,0,0,1,disc_empty_track_list×2;disc_empty_track_song_uids×15;roster_uids_short
44Oq44Or44ON44O844OJ,リルネード,,,1,0,0,10,1,10,3,3,3,0,0,0,1,0,1,formed_date;disc_empty_track_list×1;disc_empty_track_song_uids×10;no_agencies
44Ki44Oz44K544Oq44Ol44O844Og,アンスリューム,,2019-03-17,0,0,0,21,9,21,8,8,8,0,0,0,1,0,1,disc_empty_track_list×9;disc_empty_track_song_uids×21;no_agencies
TXlEZWFyRGFybGluJw,MyDearDarlin',MyDearDarlin',2020-01-26,0,0,0,26,14,26,4,4,4,0,0,0,0,0,1,disc_empty_track_list×14;disc_empty_track_song_uids×26
QUlCRUNL,AIBECK,AIBECK,2017-01-01,0,0,0,49,14,49,5,5,5,0,0,0,0,0,1,disc_empty_track_list×14;disc_empty_track_song_uids×49
576O5ZGz44GX44GE5puW5pin,美味しい曖昧,Aimai,,1,0,0,10,10,10,7,7,7,0,0,0,1,1,1,formed_date;disc_empty_track_list×10;disc_empty_track_song_uids×10;no_agencies
TElOS0wgUExBTkVU,LINKL PLANET,LINKL_PLANET,2022-03-21,0,0,0,10,9,10,8,8,8,0,0,0,0,0,1,disc_empty_track_list×9;disc_empty_track_song_uids×10
TUFHTUFa,MAGMAZ,MAGMAZ,2022-06-08,0,0,0,14,13,14,6,6,6,0,0,0,0,0,1,disc_empty_track_list×13;disc_empty_track_song_uids×14
QVpBVE9Z,AZATOY,AZATOY,2023-09-15,0,0,0,8,5,8,6,6,6,0,0,0,0,0,1,disc_empty_track_list×5;disc_empty_track_song_uids×8
RmluZ2VyIFJ1bnM,Finger Runs,Finger_Runs,2022-12-01,0,0,0,10,7,10,4,4,4,0,0,0,0,0,1,disc_empty_track_list×7;disc_empty_track_song_uids×10
6Iqx6a2B6YGT5Lit,花魁道中,Oiran_Dochu,2023-11-30,0,0,0,13,6,13,6,6,6,0,0,0,0,0,1,disc_empty_track_list×6;disc_empty_track_song_uids×13
44Gz44Gj44GP44GI44KT44GY44GH44KL,びっくえんじぇる,,2018-04-29,0,0,0,10,10,10,8,8,8,0,0,0,1,1,1,disc_empty_track_list×10;disc_empty_track_song_uids×10;no_agencies
6bO044Or56We,鳴ル神,Narukami,,1,1,1,0,0,0,4,4,4,0,0,1,1,0,0,formed_date;empty_song_uids;empty_discography;no_wiki_url;no_agencies
44Ok44Gq44GT44Go44Gd44Gj44Go44Of44Ol44O844OI,ヤなことそっとミュート,,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,formed_date;empty_song_uids;empty_discography;no_agencies
44OL44Kh44OU44Oz,ニァピン,,,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,formed_date;empty_song_uids;empty_discography;no_wiki_url;no_agencies
QkxBQ0tOQVpBUkVORQ,BLACKNAZARENE,BLACKNAZARENE,2018-01-01,0,0,0,25,10,25,6,6,6,0,0,0,0,0,1,disc_empty_track_list×10;disc_empty_track_song_uids×25
44GK44KE44GZ44G_44Ob44Ot44Kw44Op44Og,おやすみホログラム,Oyasumi,,1,0,0,33,33,33,2,2,2,0,0,0,1,1,1,formed_date;disc_empty_track_list×33;disc_empty_track_song_uids×33;no_agencies
IzJpMg,#2i2,2i2,2020-12-03,0,0,0,33,24,33,4,4,4,0,0,0,0,0,1,disc_empty_track_list×24;disc_empty_track_song_uids×33
U1RBaU5Z,STAiNY,STAiNY,2021-01-02,0,0,0,21,21,21,9,9,9,0,0,0,0,1,1,disc_empty_track_list×21;disc_empty_track_song_uids×21
ZGlpZw,diig,Diig,2024-09-14,0,0,0,6,5,6,7,7,7,0,0,0,0,0,1,disc_empty_track_list×5;disc_empty_track_song_uids×6
44Kt44Oz44Kw44K144Oq,キングサリ,,2022-04-30,0,0,0,15,15,15,6,6,5,0,1,0,1,1,1,disc_empty_track_list×15;disc_empty_track_song_uids×15;roster_uids_short;no_agencies
QXhlbGlnaHQ,Axelight,Axelight,2022-05-01,0,0,0,14,14,14,5,5,5,0,0,0,0,1,1,disc_empty_track_list×14;disc_empty_track_song_uids×14
44GC44Gj44Go44Gb44G244KT44Gm44GD44O844KT,あっとせぶんてぃーん,@17,,1,0,0,10,10,10,6,6,6,0,0,0,0,1,1,formed_date;disc_empty_track_list×10;disc_empty_track_song_uids×10
I01vb292ZSE,#Mooove!,Mooove!,2023-04-01,0,0,0,9,9,9,7,7,7,0,0,0,0,1,1,disc_empty_track_list×9;disc_empty_track_song_uids×9
5aSq6Zm944Go6LiK44KM5pyI5aSc44Gr5ZSE44GI,太陽と踊れ月夜に唄え,UTA,2023-07-28,0,0,0,8,8,8,8,8,7,0,1,0,0,1,1,disc_empty_track_list×8;disc_empty_track_song_uids×8;roster_uids_short
44GV44KI44Gq44KJ44K544OG44Kk44OB44Ol44O844Oz,さよならステイチューン,,,1,0,0,15,15,15,6,6,6,0,0,0,1,1,1,formed_date;disc_empty_track_list×15;disc_empty_track_song_uids×15;no_agencies
QWxjdXRl77yB,Alcute！,Alcute!,2023-07-24,0,0,0,19,19,19,6,6,6,0,0,0,0,1,1,disc_empty_track_list×19;disc_empty_track_song_uids×19
44Op44OK44Kt44Ol44Op,ラナキュラ,,2023-02-26,0,0,0,9,9,9,10,10,9,0,1,0,1,1,1,disc_empty_track_list×9;disc_empty_track_song_uids×9;roster_uids_short;no_agencies
44K544OR44Oz44Kz44O844Or44Kw44OD44OJ44K_44Kk44Og44K6,スパンコールグッドタイムズ,,1978-01-01,0,0,0,90,90,90,4,4,4,0,0,0,1,1,1,disc_empty_track_list×90;disc_empty_track_song_uids×90;no_agencies
Q2FuZHll4pmhU3lydXA,Candye♡Syrup,Candye♡Syrup,,1,0,0,14,11,14,9,9,9,0,0,0,1,0,1,formed_date;disc_empty_track_list×11;disc_empty_track_song_uids×14;no_agencies
UFJTTUlO,PRSMIN,PRSMIN,2021-05-25,0,0,0,21,20,21,5,5,5,0,0,0,0,0,1,disc_empty_track_list×20;disc_empty_track_song_uids×21
6YCP6Imy44OJ44Ot44OD44OX,透色ドロップ,,,1,0,0,7,7,7,5,5,5,0,0,0,1,1,1,formed_date;disc_empty_track_list×7;disc_empty_track_song_uids×7;no_agencies
44Kr44Op44OV44Or44K544Kv44Oq44O844Og,カラフルスクリーム,,2017-01-14,0,0,0,13,10,13,15,15,13,0,1,0,1,0,1,disc_empty_track_list×10;disc_empty_track_song_uids×13;roster_uids_short;no_agencies
RmluYWxseQ,Finally,Finally,2021-04-23,0,0,0,29,28,29,6,6,6,0,0,0,0,0,1,disc_empty_track_list×28;disc_empty_track_song_uids×29
