group_uid,group_name,name_romanji,suggested_date,confidence,source,wiki_title,notes
QmlT,"BiS","BiS",2019-06-11,medium,"https://ja.wikipedia.org/wiki/BiS","BiS","2019 history 始動/発足"
SElCQU5B,"HIBANA","HIBANA",2024-09-01,low,"https://ja.wikipedia.org/wiki/HIBANA","HIBANA","lead 結成 (month)"
44KG44KL44KB44KL44Oi77yB,"ゆるめるモ！","",2019-09-25,high,"https://ja.wikipedia.org/wiki/%E3%82%86%E3%82%8B%E3%82%81%E3%82%8B%E3%83%A2!","ゆるめるモ!","inline 結成を発表"
6aKo55S35aG-,"風男塾","Fudanjuku",2007-09-24,medium,"https://ja.wikipedia.org/wiki/%E9%A2%A8%E7%94%B7%E5%A1%BE","風男塾","2007 history 始動/発足"
57SU5oOF44Gu44Ki44OV44Kj44Oq44Ki,"純情のアフィリア","",2008-01-01,low,"https://ja.wikipedia.org/wiki/%E7%B4%94%E6%83%85%E3%81%AE%E3%82%A2%E3%83%95%E3%82%A3%E3%83%AA%E3%82%A2","純情のアフィリア","lead 結成 (year)"
U0lUVUFTSU9O,"SITUASION","Situasion",2020-01-01,low,"https://ja.wikipedia.org/wiki/Situasion","Situasion","lead 結成 (year)"
5aSi44G_44KL44Ki44OJ44Os44K744Oz44K5,"夢みるアドレセンス","",2012-01-01,low,"https://ja.wikipedia.org/wiki/%E5%A4%A2%E3%81%BF%E3%82%8B%E3%82%A2%E3%83%89%E3%83%AC%E3%82%BB%E3%83%B3%E3%82%B9","夢みるアドレセンス","lead 結成 (year)"
44Of44O844Og44OI44O844Kt44On44O8,"ミームトーキョー","",2021-01-01,low,"https://ja.wikipedia.org/wiki/%E3%83%9F%E3%83%BC%E3%83%A0%E3%83%88%E3%83%BC%E3%82%AD%E3%83%A7%E3%83%BC","ミームトーキョー","lead 結成 (year)"
44Kv44Oe44Oq44OH44OR44O844OI,"クマリデパート","",2016-03-27,high,"https://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%9E%E3%83%AA%E3%83%87%E3%83%91%E3%83%BC%E3%83%88","クマリデパート","2016 history 結成を発表"
44GK44GT44GV44G-44G344KM44Cc44Go44CC,"おこさまぷれ〜と。","Zero_Project",,none,"","","no wiki hit"
44GN44Gu44Ob44CC,"きのホ。","Ho?",2021-03-01,medium,"https://ja.wikipedia.org/wiki/%E3%81%8D%E3%81%AE%E3%83%9B%E3%80%82","きのホ。","2021 history 始動/発足"
5pyI5YiKUEFN,"月刊PAM","",2023-01-01,low,"https://ja.wikipedia.org/wiki/%E6%9C%88%E5%88%8APAM","月刊PAM","lead 結成 (year)"
Rk9LQUxJVEU,"FOKALITE","FOKALITE",2024-01-01,low,"https://ja.wikipedia.org/wiki/FOKALITE","FOKALITE","lead 結成 (year)"
44Oq44Or44ON44O844OJ,"リルネード","",2022-09-18,medium,"https://ja.wikipedia.org/wiki/%E3%83%AA%E3%83%AB%E3%83%8D%E3%83%BC%E3%83%89","リルネード","lead 結成 (day)"
576O5ZGz44GX44GE5puW5pin,"美味しい曖昧","Aimai",2020-01-01,low,"https://ja.wikipedia.org/wiki/%E7%BE%8E%E5%91%B3%E3%81%97%E3%81%84%E6%9B%96%E6%98%A7","美味しい曖昧","lead 結成 (year)"
