source,group,date,type,site_category,gap,event,venue,venue_hint,has_poster,timetree_url,official_detail_url,note_preview
official,equal-love,2025-07-18,Festival,ライブ/イベント,no_venue,「いのちのうたフェス２０２５ 平和がいいに決まっている！」公開収録,,,,,https://equal-love.jp/schedule/detail/9969,
official,equal-love,2025-08-01,Festival,ライブ/イベント,no_venue,「コカ･コーラ SUMMER FES 音楽LIVE」,,,,,https://equal-love.jp/schedule/detail/10042,
official,equal-love,2025-08-03,Festival,ライブ/イベント,no_venue,「TOKYO IDOL FESTIVAL 2025 supported by にしたんクリニック」,,,,,https://equal-love.jp/schedule/detail/10013,
official,equal-love,2025-08-06,Concert,ライブ/イベント,no_venue,「KANSAI COLLECTION 2025 AUTUMN &amp; WINTER」,,,,,https://equal-love.jp/schedule/detail/9952,
official,equal-love,2025-08-09,Festival,ライブ/イベント,no_venue,「LuckyFes’25」,,,,,https://equal-love.jp/schedule/detail/9948,
official,equal-love,2025-08-13,Concert,ライブ/イベント,no_venue,「SASUKE アイドル予選会2025―出場権争奪バトル―」,,,,,https://equal-love.jp/schedule/detail/10070,
official,equal-love,2025-08-13,Concert,ライブ/イベント,no_venue,『＋LIVE2 ～＝LOVE＆芸人 MUSIC DAY～』,,,,,https://equal-love.jp/schedule/detail/10029,
official,equal-love,2025-09-13,Meet,握手会,no_venue,＝LOVE 19thシングル発売記念スペシャルリリースイベント,,,,,https://equal-love.jp/schedule/detail/10260,
official,equal-love,2025-09-13,Meet,握手会,no_venue,7thシングル『CAMEO』発売記念「全国イベント参加券」振替,,,,,https://equal-love.jp/schedule/detail/10300,
official,equal-love,2025-09-14,Meet,握手会,no_venue,＝LOVE 19thシングル発売記念スペシャルリリースイベントvol.2,,,,,https://equal-love.jp/schedule/detail/10270,
official,equal-love,2025-09-14,Meet,握手会,no_venue,7thシングル『CAMEO』発売記念「全国イベント参加券」振替,,,,,https://equal-love.jp/schedule/detail/10302,
official,equal-love,2025-09-16,Meet,握手会,no_venue,＝LOVE 19thシングル発売記念スペシャルリリースイベント,,,,,https://equal-love.jp/schedule/detail/10261,
official,equal-love,2025-09-16,Meet,握手会,no_venue,7thシングル『CAMEO』発売記念「全国イベント参加券」振替,,,,,https://equal-love.jp/schedule/detail/10303,
official,equal-love,2025-09-17,Concert,ライブ/イベント,no_venue,「広島東洋カープ 対 阪神タイガース戦」始球式,,,,,https://equal-love.jp/schedule/detail/10287,
official,equal-love,2025-09-20,Festival,ライブ/イベント,no_venue,「イナズマロック フェス 2025」,,,,,https://equal-love.jp/schedule/detail/10156,
official,equal-love,2025-09-22,Concert,ライブ/イベント,no_venue,「北海道日本ハムファイターズ 千葉ロッテマリーンズ戦」,,,,,https://equal-love.jp/schedule/detail/9984,
official,equal-love,2025-09-30,Meet,握手会,no_venue,＝LOVE 19thシングル発売記念スペシャルリリースイベントvol.2,,,,,https://equal-love.jp/schedule/detail/10271,
official,equal-love,2025-09-30,Meet,握手会,no_venue,7thシングル『CAMEO』発売記念「全国イベント参加券」振替,,,,,https://equal-love.jp/schedule/detail/10304,
official,equal-love,2025-10-09,Meet,握手会,no_venue,＝LOVE 19thシングル発売記念スペシャルリリースイベント,,,,,https://equal-love.jp/schedule/detail/10262,
official,equal-love,2025-10-09,Meet,握手会,no_venue,7thシングル『CAMEO』発売記念「全国イベント参加券」振替,,,,,https://equal-love.jp/schedule/detail/10305,
official,equal-love,2025-10-10,Meet,握手会,no_venue,＝LOVE 19thシングル発売記念スペシャルリリースイベントvol.3,,,,,https://equal-love.jp/schedule/detail/10269,
official,equal-love,2025-10-10,Meet,握手会,no_venue,7thシングル『CAMEO』発売記念「全国イベント参加券」振替,,,,,https://equal-love.jp/schedule/detail/10306,
official,equal-love,2025-10-18,Concert,ライブ/イベント,no_venue,「Rakuten GirlsAward 2025 AUTUMN/WINTER」,,,,,https://equal-love.jp/schedule/detail/10330,
official,equal-love,2025-10-19,Meet,握手会,no_venue,＝LOVE 19thシングル発売記念 個別お話し会,,,,,https://equal-love.jp/schedule/detail/10178,
official,equal-love,2025-11-03,Meet,握手会,no_venue,=LOVE 19thシングル発売記念 ツーショット撮影会,,,,,https://equal-love.jp/schedule/detail/10182,
official,equal-love,2025-11-08,Meet,握手会,no_venue,＝LOVE 19thシングル発売記念 個別お話し会,,,,,https://equal-love.jp/schedule/detail/10179,
official,equal-love,2025-11-09,Concert,ライブ/イベント,no_venue,「高木豊のプロ野球大会議2025in横浜」,,,,,https://equal-love.jp/schedule/detail/10597,
official,equal-love,2025-12-05,Concert,ライブ/イベント,no_venue,「東京クリスマスマーケット 2025 in 芝公園（御成門駅前広場）オープニングセレモニー」,,,,,https://equal-love.jp/schedule/detail/10905,
official,equal-love,2025-12-14,Festival,ライブ/イベント,no_venue,「GOBOU FES. 2025 -吉田尚記 50th Anniversary-」,,,,,https://equal-love.jp/schedule/detail/10384,
official,equal-love,2025-12-14,Meet,握手会,no_venue,＝LOVE 19thシングル発売記念 個別お話し会,,,,,https://equal-love.jp/schedule/detail/10180,
official,equal-love,2026-01-07,Festival,ライブ/イベント,no_venue,「まって、ムリ！Fes 〜 二次通 from 夜な夜なプロジェクト〜」公開収録 Vol.3,,,,,https://equal-love.jp/schedule/detail/10876,
official,equal-love,2026-01-09,Concert,ライブ/イベント,no_venue,メギド７２ 1st XR Live『幻境エンタングル -交錯する運命-』ネフィリム役,,,,,https://equal-love.jp/schedule/detail/11054,
official,equal-love,2026-01-12,Concert,ライブ/イベント,no_venue,TVアニメ「勇者パーティーにかわいい子がいたので、告白してみた。」キャスト舞台挨拶付き先行上映会,,,,,https://equal-love.jp/schedule/detail/10883,
official,equal-love,2026-01-18,Meet,握手会,no_venue,＝LOVE 19thシングル発売記念 スリーショット撮影会,,,,,https://equal-love.jp/schedule/detail/10253,
official,equal-love,2026-01-24,Concert,ライブ/イベント,no_venue,LAWSON 50th Anniversary presents ＝LOVE・≠ME・≒JOY Special LIVE,,,,,https://equal-love.jp/schedule/detail/10308,
official,equal-love,2026-02-11,Meet,握手会,no_venue,＝LOVE 20thシングル発売記念スペシャルリリースイベント,,,,,https://equal-love.jp/schedule/detail/11134,
official,equal-love,2026-02-14,Meet,握手会,no_venue,＝LOVE 20thシングル発売記念スペシャルリリースイベント,,,,,https://equal-love.jp/schedule/detail/11111,
