uid,name,name_romanji,nickname,nickname_romanji,member_count,member_names,member_uids,past_member_count,past_member_names,past_member_uids,color,formed_date,popularity,fans,union,union_uid,agencies,agency_uids,pictures_count,pictures_paths,wiki_url,song_uids_count,discography_count,disc_uids_count,songs_count,description
"055cd81a-8c78-44ad-b74b-3f45fc551f9b","ナナコロビヤオキ","Nanakorobi_Yaoki","ナナコロ","Nanakoro","7","歌花てんか | 水田茉莉 | 瀬戸内れもん | 熊ノ実にも | 笑乃にな | 苺川えくぼ | 阪菜りこ","e8338208-293a-43dd-80b9-446b1c836de8 | fbbd48da-4c66-4300-a1ec-1c67038f6431 | 5a1ed420-0abf-4f43-b5f9-985d78212ac4 | c5d56c30-a278-403d-9b2d-4630061fdba4 | b5d77294-2b5e-4939-bae1-72fc1204405c | 684ff24b-1111-4ff6-991b-0e4fa51505d4 | aa8f4773-0519-4030-8d2d-c65be114e53b","4","初号機まろ | 甘愛らて | 美呂心愛 | 萌恋らぶ","7264fad8-5db8-411e-bec2-2801111ec56a | 52040ebd-503d-40ed-93ae-8c26fa940a7a | 5d1be25a-00a9-4003-a9d3-9a4ea7180efb | f2e58fc4-f1cb-4cfc-85d6-68e97eab29aa","#FFFFFF","2024-06-14","","","","","imaginate","","5","picture/Nanakorobi_Yaoki_photo_4.webp | picture/Nanakorobi_Yaoki_photo_3.webp | picture/Nanakorobi_Yaoki_photo.webp | picture/Nanakorobi_Yaoki_logo.webp | picture/Nanakorobi_Yaoki_photo_2.webp","https://jpop.fandom.com/wiki/Nanakorobi_Yaoki","0","6","6","0","Nanakorobi Yaoki June 2025 Information Also Known As Nanakoro (ナナコロ) Origin Osaka, Japan Genre J-Pop Years 2024-present Agency imaginate Associated Acts HEROINES HEROINES Osaka Ponkotsu Konpo TENRIN iLiFE! Yakousei Amuse BLK LiLiY Non¬Fiction i-COL CAL&RES Ill Parallel Cider GILTY×GILTY AdamLilith GAGAPIERO LADYBABY akishibu project chuLa paradeeq Dress Code MEGAFON Tenshinranman iOn! HEROINES Kenkyuusei iLiFE! Kouhosei Current Members Maisen Ekubo (2024-Present) Utage Tenka (2024-Present) Seto"
"15c6385c-b09a-4dbc-89f1-fc96cef74fff","BLK LiLiY","BLK_LiLiY","","","0","","","7","こるね | 波沫ひよ | 甘音ゆあ | 綺世あやり | 織織 | 藤城なみ | 響羽凛瞳","80a3fd87-890f-4a88-ad12-e2a19d32e5c9 | ebb7f6f2-de31-427c-be65-9fcdcfe75270 | 1666ef5f-d042-4f91-bcda-18628ecd453d | 192d0dad-0acf-4cf7-8b63-cf8c4467ffcc | 48a4430b-b103-44d0-a82f-e532ab4a2106 | 1f22a5cf-f0f8-4c95-a3b7-3b0049239b69 | 39182e99-128e-4556-94b6-d4426f380be8","#FFFFFF","2021-03-21","","","","","imaginate","","6","picture/BLK_LiLiY_photo_4.webp | picture/BLK_LiLiY_photo_2.webp | picture/BLK_LiLiY_logo.webp | picture/BLK_LiLiY_photo.webp | picture/BLK_LiLiY_photo_3.webp | picture/BLK_LiLiY_photo_5.webp","https://jpop.fandom.com/wiki/BLK_LiLiY","0","2","2","0","BLK LiLiY May 2022 Information Origin Tokyo, Japan Genre J-Pop Years 2021-2023 Label CROSS SIDE MUSIC Agency imaginate Associated Acts HEROINES Ponkotsu Konpo TENRIN ILiFE! Yakousei Amuse Non¬Fiction i-COL CAL&RES Ill Parallel Cider GILTY×GILTY AdamLilith GAGAPIERO ZUTTOMOTTO LADYBABY akishibu project chuLa paradeeq Nanakorobi Yaoki Dress Code MEGAFON Tenshinranman iON! HEROINES Kenkyuusei iLiFE! Kouhosei Disbanded May 9, 2023 Former Members Shikiori (2021) Ayase Ayari (2021-2022) Amane Yua (2022"
"44G-44Gt44GN44Kx44OB44Oj","まねきケチャ","","","","5","三井いろは | 凪咲楓 | 堀内すず | 早瀬結実 | 神崎ひな","74fefd46-721f-42f2-b1ed-e83a146baca4 | adf0387c-afbc-4c53-9ce9-431f779fdaaa | 14f43f20-b7bb-4241-819a-426c990f4706 | f8554499-5ae3-47ac-9ef2-d9bf268d8f5c | 20f51283-bc09-4b7f-a5af-884c55d7a2a6","8","ふうか | 中川美優 | 宮内凛 | 松下玲緒菜 | 深瀬美桜 | 篠原葵 | 藤咲真有香 | 藤川千愛","770b6fc3-cf01-4cb3-976b-b484e98316b2 | 11156b69-60a3-4c4b-bd79-f87f2e081bd5 | 24a41f9b-27be-4f5c-b613-f47c3f84a775 | da7fe591-438e-4ae1-abbf-964da901a3e7 | bd6d7e4d-024a-4e0b-a543-4c94757bbee7 | e2db23e4-b97b-4e03-be73-5b734749ed1b | 5e75ae40-63af-49c3-900b-c608acaf3d39 | 5665eeb3-4321-461b-8790-bdc9344f1797","","","22","19850","","","","","0","","https://jpop.fandom.com/wiki/Maneki_Kecak","0","11","11","0",""
"44G144GH44GC44KK44O844Gm44GE44KL44Ga77yB","ふぇありーているず！","","","","6","夢咲このか | 津々楽いちは | 白石うらん | 真野紗奈 | 綺月梨乃 | 美ヶ野まゆな","ddf83874-71f7-40d3-b958-904b73959669 | 45d7402b-6c21-4a9f-9306-2459e4762d7e | 822c752e-4b9e-4ab6-9d0c-86fe3d426033 | ca4194a7-b5e6-4dea-989c-989758caee5d | 43982de5-be1c-4417-a35c-46bfecd45428 | 6958a810-5813-4c13-b92b-1f7262759955","16","えむ | ばにら | メカ・ワカメ | ルナ・ニャアイズ | 城乃佑奈 | 堀梨恵 | 夢原あこ | 夢咲あかり | 日向りり | 星奈ゆりか | 朝比奈ゆい | 津々楽すぅ。 | 片平夏芽 | 甘宮くるみ | 白咲芽依 | 黒咲夢吏","278b670f-4243-4046-a34f-6bcd15fe6d8c | 4e49fbf9-d854-4a2c-85a8-0b044aa3861b | 59ae9eee-2ea7-4004-9f29-f2258d791410 | 3804b943-e2d7-4724-98c0-10a572161f38 | db795034-e622-4696-b13d-f427853171b0 | a6cf4e73-5710-4f90-a4bd-8b8d3837f3f8 | 2fe97247-5d89-47a3-ab16-6215a1680ac4 | b5d15f70-74f6-4a63-9c12-89102ac588dd | 8e6e6c7d-bcd5-4a31-816d-4d8b5840d300 | d913abe7-76bc-4991-8a8b-84f8f7b18c2c | bb9c1e72-4fd7-4bf0-aff1-41e8ebd3b219 | 1e09821b-64b2-49d3-9f64-24d1b341424e | 9d0c352e-8eed-469e-ab25-84937833a3dd | 98db3ba1-110f-401c-a27c-17184b28c6d0 | 92f5f5b9-8afc-4d77-9725-b9d824ec3318 | fd1b454f-c6eb-4012-89f8-b19e6ae0c0b0","","","7","1124","","","","","0","","https://jpop.fandom.com/wiki/No_Surprises","0","1","1","0",""
"44G144KP44G144KP","ふわふわ","FuWa_FuWa","","","3","平塚日菜 | 松崎梨央 | 遠藤みゆ","28afda5c-6019-4156-b6ad-9aaa54f0fb6c | 37fb1b7a-c7a7-417d-84c4-b78b9fcca0c5 | 16e91484-1cd5-4a3a-885e-3bd32b4466c0","17","中野あいみ | 伊藤小春 | 佐伯茉央 | 兼次桜菜 | 吉澤瑠莉花 | 塚本凪沙 | 塚田百々花 | 山本七穂 | 山本七聖 | 岩崎春果 | 本島莉々果 | 横田美雪 | 石井美優 | 谷野有沙 | 赤坂星南 | 鈴木瞳美 | 高岡志帆","0215fe0e-e62d-4e81-ae84-264eb54c33d8 | f469c8f6-fe88-47bd-8a72-9921aa393170 | 0bdef1e5-d64b-4855-af07-3ddbd7e6cfbe | b864cdda-ff77-4799-b8cb-57f790350461 | c08bfb03-21e1-440e-9dc4-e0f9746eee68 | 594c31fd-cb04-423d-b47b-b937405fa937 | aae4657e-80dc-400b-89f6-34a638f90368 | 0d085513-659c-41a6-98ba-01897ea4da4d | 6e0b7473-a17b-4b72-913a-2eadda908384 | 90b46172-4a64-490c-b360-d1429b58d1e6 | 4601c4b2-93f4-447d-9b29-a3d22409a5b9 | 12b94acc-1a4f-4bf5-bfe5-94ba1a308b8c | f9a1213e-8876-4d7e-a843-eb0cf1c8b77d | 0a83576d-63b5-41ad-8f1b-d05841ee7c45 | 25306952-ac31-4360-8494-5b63efddec8e | ebd96467-2ab0-4557-a5a5-1b4904d0872a | 8419dd50-f6e3-4503-83df-02a0dc76381c","","2015-08-24","9","3688","","","RISING PRODUCTION","","3","picture/FuWa_FuWa_photo_2.webp | picture/FuWa_FuWa_logo.webp | picture/FuWa_FuWa_photo.webp","https://jpop.fandom.com/wiki/FuWa_FuWa","0","8","8","0","FuWa FuWa Promoting Princess Carnival (2020) Information Genre J-Pop Years 2015-Present Label SONIC GROOVE Agency RISING PRODUCTION Current Members Endo Miyu Hiratsuka Hina Former Members Takaoka Shiho Ishii Miyuu Tanino Arisa Tsukamoto Nagisa Saeki Mao Yamamoto Nanaho Suzuki Hitomi Yamamoto Nanase Yokota Miyuki Yoshizawa Rurika Ito Koharu Motoshima Ririka Matsuzaki Rio Nakano Aimi Kaneshi Sana Akasaka Sena Tsukada Momoka Iwasaki Haruka FuWa FuWa (ふわふわ) is currently a two-member Japanese idol gr"
"44G744GP44KK44GP44Ki44Kk44OJ44Or6YOo","ほくりくアイドル部","Hokuriku_Idolbu","","","19","中宮果杏 | 佐古真莉亜 | 來栖空 | 加藤千夏 | 南葵 | 吉池千晴 | 園木美紗 | 土井颯愛 | 山崎真央 | 廣嶋那須菜 | 有松来未 | 松井祐香里 | 林風奈 | 渡辺萌叶 | 澤田萌南 | 羽場朱里 | 荒井那奈 | 西村萌花 | 辰巳未来春","f7dd8519-8696-4ece-a16f-3c1ab5d506c4 | 7db6ff5a-e7f9-408f-9881-57862634f36c | 4c2220f8-6c85-4ef7-9f99-a8cea95b55be | 84d7f739-35ec-4233-938e-773a59eaea42 | 766230e3-fd90-4b39-a294-05f2852fd5df | 70a9b535-f4a8-4d3e-b40c-6a75a222410d | c2e95e44-1052-4927-89bc-9af1d1a58a90 | 3e630b85-159d-45c9-9afb-dec1a53deaf9 | 6a1499f6-53e5-4b51-9c3f-0a6ddff28d35 | 576a508f-6dfb-437b-82a6-7dd494ffd84f | 0068ba91-34f0-436e-906a-bd4198bb2b4b | 8e16783d-732c-4a50-9914-32d8f24f716d | e0a87171-2dba-46a5-bf3b-db8f814c0d50 | af85e8c0-e060-4bd6-924f-93bd8cd1f724 | fe419613-adf3-4386-8298-a21235615fe2 | c72ad1e9-88f8-4955-9a82-a962a914227a | 4af6ac0a-7e60-4c2a-a7eb-70746e61e598 | 52b306f4-6355-43dd-8a82-ecf3c5dcd788 | e6e74012-42ec-4379-bac2-f7b3f740666a","32","三井梨花 | 下村かおり | 北川彩華 | 原田瑞季 | 堺侑奈 | 塚崎真結 | 天谷可菜 | 太田姫子 | 奥村星香 | 安井晶 | 宮村優希 | 山中彩也乃 | 山口まなみ | 山本愛彩 | 山田紗千華 | 岩倉彩花 | 島﨑琳音 | 川根麻里亜 | 木村優衣 | 松村綾香 | 松澤裕加 | 渋谷紗雪 | 澤村光彩 | 澤田暁音 | 牛坂友彩 | 石本まや | 石澤彩 | 竹中陽奈 | 羽生田結月 | 至極雛子 | 若岡華音 | 藤澤実咲","dfc73260-c393-4b3b-b98b-e47d8342865c | 25a3c3d5-e133-4901-bd64-8413dafeebff | e13bc1a0-64dd-4f77-bd09-e22d0fd3599c | 6d7a8ab7-9095-446e-9fd9-b2e923338f2c | 3bf69d97-badc-47fa-bb47-34a05f1c048a | d90e034b-66fe-4804-be4c-ab61527ca3c0 | 617e65ef-e84b-4750-8927-41f4a6890b58 | 06c0d7ae-936f-4050-963b-e50154656a02 | 748eeecf-21db-4bff-8267-fb8d34948176 | 89580560-f18a-4bca-b95b-bbfa1635179b | d1cefb1e-d429-4c2c-b653-8dd91b0bd154 | c38c4103-c770-45fc-bf90-95529601964b | 69c6741f-07b5-4534-824b-f3bcc2cde4f1 | f8d85990-3391-4a76-afb5-d15093126fc2 | f81a8e38-26e2-464b-933e-f018cdcf7b8c | 6655286e-eb5b-4a21-8d57-71959f57d341 | 38e1f983-c7f9-4c3e-898d-036b9c267173 | 05a24721-961f-4c73-b262-d69f6bc6b469 | 2e3f3859-48d9-481d-9df3-a0257f533636 | 4cb030fc-2227-40e7-838b-ca9dacacb145 | 0d0c5699-0326-41f8-b7c5-25c1a04623f5 | 369dc76a-3510-452e-ab33-97b15f84e475 | 7ff53de3-81e0-4814-9c07-ae68b9175ef2 | 9f1a9f2a-71ac-4288-a1b5-1b35903ca2d7 | 32d00f41-e708-4e31-96ff-2f942e147aa4 | 7b0ce089-d7f9-4d44-8df1-dd47ae82412d | 086ddbd4-c445-4964-8911-086de77d5c2a | 9715bb38-6354-49fd-a9b4-82e855092120 | f28c6eb4-db53-4c0a-9558-b198dd7f5498 | 057a63a6-7c74-4e2e-bb84-338f22f3122d | e6d92aee-058e-4bcf-b8a6-8defa5fd1b1e | 8c66943a-973e-439f-b663-6b8242988599","","2016-06-12","11","620","","","Answer Entertainment","","11","picture/Hokuriku_Idolbu_photo_7.webp | picture/Hokuriku_Idolbu_logo.jpg | picture/Hokuriku_Idolbu_photo_10.webp | picture/Hokuriku_Idolbu_photo_5.webp | picture/Hokuriku_Idolbu_photo_6.webp | picture/Hokuriku_Idolbu_photo_3.webp | picture/Hokuriku_Idolbu_photo_9.webp | picture/Hokuriku_Idolbu_photo_8.webp | picture/Hokuriku_Idolbu_photo.webp | picture/Hokuriku_Idolbu_photo_2.webp | picture/Hokuriku_Idolbu_photo_4.webp","https://jpop.fandom.com/wiki/Hokuriku_Idolbu","0","9","9","0","Hokuriku Idolbu April 2024 Information Also Known As Hokuriku Idol club Origin Kanazawa, Ishikawa, Japan Genre J-Pop Years 2016-Present Label Answer Entertainment Agency Answer Entertainment Producer Nakashin Masato Links Website Official Website Social Media Hokuriku Idolbu (ほくりくアイドル部) is currently a 15-member Japanese idol group originally formed with 17 members on June 12, 2016."
"44G944GR44Gj44Go44OV44Kh44Oz44OI44Og","ぽけっとファントム","","","","5","ありはらりな | 南雲ひより | 月詠乃愛 | 松岡未都 | 水沢美咲","cad91442-dd68-4ab7-ad4e-ad2dd6a2924c | 7a4f4f2f-5d2e-40f8-8099-68712efc4b42 | 6379ce74-85db-4c83-82f1-5e2029b21efb | ba782347-c9ca-4f5e-8d1d-c612c359f380 | f580e03f-d271-49ad-bb98-4ffcb8a21aba","9","じゆりぴ | 国場美々花 | 杏星るく | 来栖仁愛 | 桜舞 | 石垣あいら | 紗倉絵麻 | 見上月梛 | 音琴さりな","40c647f6-451c-4838-a1b5-6b13395d90c3 | a476fb3b-8ce1-44e5-ba56-d7a59940e86d | 855687d5-0a91-4f4c-b183-e18082904792 | 249398b3-9774-4dd1-b27d-4c8d3d227619 | c2bc6ec2-1253-43d2-accb-d473506d51ec | 3852a94a-e5c1-44c5-a7dd-8195d48cdfb7 | b1d57f88-10e0-42d8-9959-b8691d4224ec | 23307264-4128-4859-93d9-53172b41f2e7 | 6b758514-f8d1-4863-b0a8-6fd453bd3543","","2024-06-26","14","328","","","","","0","","https://jpop.fandom.com/wiki/Phantom_Siita","0","2","2","0",""
"44GC44GS44KC44KT77yB","あげもん！","Agemon!","","","0","","","15","一ノ瀬愛 | 天てんる | 如月雫 | 恋咲ひな | 日南ひより | 星谷みつき | 月乃もあ | 桜みりん | 桜井優奈 | 梨める | 狸々みょん | 美山ひな | 華弓姫杏 | 輪廻ねる | 輪廻りん","e1f41e21-0c22-4183-83e5-f2062fcb11ab | 7344cfee-e479-4276-877c-5575868d9e4b | 15af78ad-0cd5-4b98-82db-40c382e39524 | bb24ddc3-cd4e-4a92-bc10-bb53bca74b7c | 32391d92-e669-4d91-8216-4754adb0bb05 | 33a619c6-68c6-4b29-be20-cfa95490e24b | e2087209-ff70-4b6f-83c6-b5ee7f69823d | 8ab6f936-90bb-4949-b48d-19fcf16f71de | ae76eda1-103d-4665-8122-9c78971b1138 | f09883ef-0978-4c30-9543-4553cb4ebc4e | 409e63d4-c76a-4181-9640-2712a8cbef0a | 814c40ad-bcde-4f1a-af3b-f5154e98d601 | c4dc1dbf-a8ff-41a4-8f1e-aa230e2e0dc4 | 4cefb3a3-284e-4d60-961b-6cae6aea98eb | 69db5590-6640-4e2d-a9d3-c832bdde0911","","2021-07-23","1","493","","","PRODUCTION IDOL BANG","","7","picture/Agemon!_photo_6.webp | picture/Agemon!_photo_2.webp | picture/Agemon!_photo.webp | picture/Agemon!_photo_5.webp | picture/Agemon!_logo.webp | picture/Agemon!_photo_3.webp | picture/Agemon!_photo_4.webp","https://jpop.fandom.com/wiki/Agemon%21","0","10","10","0","Agemon! October 2023 Information Origin Tokyo, Japan Genre J-Pop Years 2021-2024 Agency PRODUCTION IDOL BANG Final Line-Up Miyazaka Minami Hinami Hiyori Tsukino Moa Sawaragi Meru Former Members Kisaragi Shizuku Ichinose Ai Sakurai Yuna Kagura An Hoshitani Mitsuki Rinne Rin Konosaki Hina Ama Tenru Links Website Official Website Social Media Agemon! (あげもん！) was a four-member Japanese idol group formed on March 2021. They made their stage debut on July 23, 2021 @SELENE STUDIO SELENE b2, Tokyo, Jap"
"44GC44Gf44G-44Gu44Gq44GL44GvOOODk-ODg-ODiOKBie-4jg","あたまのなかは8ビット⁉︎","","","","6","あこ | ややまる | パク・モモ | 右左うしろ | 東雲結愛 | 甘夢ねるる","b851b0cb-a952-47c6-88a0-79dd4dbc5e28 | 3afe0b3c-aeab-488c-bded-c48c1e1596eb | 3173e202-0e79-44bf-909a-97c7c3aa94b5 | 755acf38-56a7-40e7-a534-bd50d4cbe279 | 23f89821-bfb1-404b-90aa-e060efaee61f | 3e466f39-d08b-43d5-bdd0-9ccd509b822f","17","Q酸素 | ぁのこぁの | ましろまこ | らん | りんね | カン・ニャン | 叶うかな | 夢川あい | 天華みゆゆ | 奏多せな | 密月あめり | 小岩井ねこ | 廿楽うい | 東雲みあ | 葉月なる | 雪乃あう | 鬱乃ぽめ","b4a60b17-b8f6-4824-b41e-d1409d32b5d8 | f0ab5281-4616-412e-ac73-1d48c146580b | 2d76d96b-7663-4ed4-a2bc-9d5fefc78299 | 6de473f6-d349-48c1-aeb6-bbb01162fc92 | 2ab8a4c8-bdfd-42b3-99b6-ae274355017f | 41b0ce19-bb61-46f0-86f8-0aefe333df13 | c5fffa6f-1e92-42fb-bbde-acac89e856db | 0ac47916-038f-4fae-b589-c4d585cb7233 | d4307a03-fbfd-49ef-8705-18f04627713f | a0108aa2-c5c7-4add-b6e5-7736d95ffd67 | dd366e2f-04ef-43dd-9853-4024725a2fbc | 0cef824d-fa8f-4f4b-8ba0-7a4a23c36525 | 23183c6d-a2a5-4665-9eef-c91ce17eaac4 | a12e8dfb-62d9-4d0b-8fcd-25e3a68bb1f1 | c79680ba-b4cd-4ae3-8fc1-4b39f043c9fc | b7d5089f-8987-45c5-bb89-70ddf1bd6a49 | c119cff8-6d48-4ca7-8897-5eb26c46a9bc","","","12","1133","","","","","0","","https://jpop.fandom.com/wiki/BibitLOVE","0","26","26","0",""
"44GC44Gj44Go44Gb44G244KT44Gm44GD44O844KT","あっとせぶんてぃーん","@17","あっとせぶんてぃーん","At Seventeen","7","えまちぃ | こえび | ちなつ | ちろる | つらら | なあな | みしな","a5e4838b-3973-4358-bd35-91d980315a1c | 2215ebce-eb59-4a5e-bcd5-990c1f0d7cb6 | d454c0d6-b40a-4e20-9e5b-b4eabd4384f0 | d4c4537d-3436-4507-a0f2-685ea066be2c | 85c58f4d-ba60-4eeb-afcd-373e5adee383 | 9ac89edb-656e-41cb-b968-0ad06fc2ca16 | 1bf0edbd-2578-45ab-b037-686c3e4911e9","35","Chimu | Kurumi | Reo | now | あいく | あかりん | あも | あんり | えり | かがみ | かげとら | かしま | かにぱん | くろこ | しじみ | しゃち | すぃ | つきひ | はつね | みづきん | みなりん | めんま | もずく | もなか | ももな | ゆめな | らめ | りょん | るちあ | れおな | れたす | ろきてぃ | マンボウ | 市川こころ | 琥珀","9929ac95-a04d-4962-8a37-807ffc8e897a | 0f3908d8-4618-49f1-b7ba-1290471eb6e1 | cb0205de-6fa0-446d-be3d-447cdac83c78 | 058b37b4-0286-4a6c-bc18-bce363b191be | f710fdf2-03a1-4458-8e8c-f98bb9218a22 | e1962084-09e6-4366-975e-97a1a39e51c0 | 253166ec-c9bd-4ee1-8260-006efa519e46 | a45785fa-069b-43d6-9edf-fb4cca241c87 | 09a9e19c-a3ff-41d0-b04d-19344435c311 | 5449a76c-694c-48a0-9be7-1b36ab17ea47 | 5c2b80be-93ae-40f5-864b-1bcb84468171 | 29aebb74-a26f-4c1f-aa74-3bfb8f7dc1b2 | 6eba6d27-c3fc-4bea-beaa-cd9cc8f61bbe | 63da12a7-f791-43dd-ae82-e204805f2895 | e0bb17f4-6328-476a-a39a-c7a2cec494bc | cf43a4d1-0214-41c5-87ac-549a39f7eb0d | d69d9152-9290-4b2b-bf4c-a5301e3a6acf | 1029770b-b015-47cc-96c6-d76bcc2670c4 | 201840b9-182b-49ea-9ae4-6afaf7dc58c1 | 1cef39b9-6adf-421c-abef-52cc4226f3ff | 1e5bc8f9-9d19-4e7d-a0c2-ae1a78f0d1e5 | bdf590d9-a84b-4c76-b165-9595a714bd82 | e89a4574-3a85-4501-87bc-177caecd7cb7 | 8813c656-01a1-4cfd-90ce-315166f58cfd | 8cc8810c-538d-4a43-bb07-5525c58cab9a | 1358c666-6002-4846-ad63-35dda75165bc | 2e1b74ed-a4e7-4778-9199-a645b9b424d9 | 0c1bbeea-ad0d-47ba-a720-d4fca106648f | 0cd83a39-8257-4b03-b6b4-faaf357d7423 | 3df33058-8820-4d83-9300-45e521bf1f5b | 6399105f-1b1a-41ac-b2dd-5f00280237c4 | 8229ebf7-9a04-4efe-9cb8-c37b80e3e9d4 | e1825c42-19c4-428d-a558-ab0204006a48 | c7422db5-8477-4832-be98-4db96eb6d6bf | 9474deb4-cd9b-4ee7-ad06-0e3e5d85876c","","","15","1782","","","Infinia","","2","picture/@17_photo.webp | picture/@17_logo.webp","https://jpop.fandom.com/wiki/%4017","0","10","10","0","Information Also Known As At Seventeen (あっとせぶんてぃーん) Assebu (あっせぶ) Years 2016 2017-Present Label made in M@id records / SPACE SHOWER MUSIC Agency Infinia Links Website http://at17.jp/#/ Social Media @17 is an idol group based out of the at-home cafe chain of maid cafes. The group was originally active in August 2016 to participate in TOKYO IDOL FESTIVAL 2016, and released one single during these promotions. They stopped activities after the festival until August 2017, when they revived to partic"
