group_uid,group_name,name_romanji,suggested_date,confidence,apply_yes_no,source,wiki_title,notes
QnVvbm8h,"Buono!","Buono!",2007-07-21,high,Y,"https://ja.wikipedia.org/wiki/Buono!","Buono!","2007 history 結成を発表"
U0tFNDg,"SKE48","SKE48",2008-10-05,high,Y,"https://ja.wikipedia.org/wiki/SKE48","SKE48","2008 timeline 1st公演"
44Kv44Oe44Oq44OH44OR44O844OI,"クマリデパート","",2016-03-27,high,Y,"https://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%9E%E3%83%AA%E3%83%87%E3%83%91%E3%83%BC%E3%83%88","クマリデパート","2016 history 結成を発表"
44GV44GP44KJ5a2m6Zmi,"さくら学院","Sakura_Gakuin",2012-08-04,high,Y,"https://ja.wikipedia.org/wiki/%E3%81%95%E3%81%8F%E3%82%89%E5%AD%A6%E9%99%A2","さくら学院","inline 結成を発表"
44KG44KL44KB44KL44Oi77yB,"ゆるめるモ！","",2019-09-25,high,Y,"https://ja.wikipedia.org/wiki/%E3%82%86%E3%82%8B%E3%82%81%E3%82%8B%E3%83%A2!","ゆるめるモ!","inline 結成を発表"
57WC44KP44KJ44Gq44GE44Gn44CB5aSc,"終わらないで、夜","",2018-09-21,high,Y,"https://ja.wikipedia.org/wiki/%E7%B5%82%E3%82%8F%E3%82%89%E3%81%AA%E3%81%84%E3%81%A7%E3%80%81%E5%A4%9C","終わらないで、夜","2018 history 結成を発表"
MeOBpOi2s-OCiuOBquOBhOizveOBr-aKleOBkuOCieOCjOOBnw,"1つ足りない賽は投げられた","",2022-02-27,medium,,"https://duckduckgo.com/","1つ足りない賽は投げられた","web デビュー/始動"
QmlT,"BiS","BiS",2019-06-11,medium,,"https://ja.wikipedia.org/wiki/BiS","BiS","2019 history 始動/発足"
QmlTSA,"BiSH","BiSH",2015-01-14,medium,,"https://ja.wikipedia.org/wiki/BiSH","BiSH","2015 history 始動/発足"
Q2hhbGNh,"Chalca","Chalca",2024-10-05,medium,,"https://duckduckgo.com/","Chalca","web デビュー/始動 (2 snippets agree)"
R08gVE8gVEhFIEJFRFM,"GO TO THE BEDS","GO_TO_THE_BEDS",2021-03-27,medium,,"https://ja.wikipedia.org/wiki/GO%20TO%20THE%20BEDS","GO TO THE BEDS","2021 history 始動/発足"
UEFSQURJU0VT,"PARADISES","PARADISES",2021-03-21,medium,,"https://ja.wikipedia.org/wiki/PARADISES","PARADISES","2021 history 始動/発足"
U1RVNDg,"STU48","STU48",2017-03-31,medium,,"https://ja.wikipedia.org/wiki/STU48","STU48","lead 結成 (day)"
Vy7jg4Djg5bjg6vjg7TjgqPjg7w,"W.ダブルヴィー","W",2023-12-09,medium,,"https://ja.wikipedia.org/wiki/W.%E3%83%80%E3%83%96%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%BC","W.ダブルヴィー","2023 history 始動/発足"
44Ki44Kk44OJ44Or44Kr44Os44OD44K4,"アイドルカレッジ","",2009-02-01,medium,,"https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB%E3%82%AB%E3%83%AC%E3%83%83%E3%82%B8","アイドルカレッジ","lead 結成 (day)"
44Ki44OD44OX44Ki44OD44OX44Ks44O844Or44K677yI5Luu77yJ,"アップアップガールズ（仮）","",2024-11-18,medium,,"https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%83%E3%83%97%E3%82%A2%E3%83%83%E3%83%97%E3%82%AC%E3%83%BC%E3%83%AB%E3%82%BA%EF%BC%88%E4%BB%AE%EF%BC%89","アップアップガールズ（仮）","lead 結成 (day)"
44Ko44Op44OQ44Os44K3,"エラバレシ","Erabareshi",2016-03-02,medium,,"https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%A9%E3%83%90%E3%83%AC%E3%82%B7","エラバレシ","lead 結成 (day)"
44GL44GZ44G_6I2J44Go44K544OG44Op,"かすみ草とステラ","",2021-05-23,medium,,"https://duckduckgo.com/","かすみ草とステラ","web デビュー/始動"
44GN44Gu44Ob44CC,"きのホ。","Ho?",2021-03-01,medium,,"https://ja.wikipedia.org/wiki/%E3%81%8D%E3%81%AE%E3%83%9B%E3%80%82","きのホ。","2021 history 始動/発足"
