name,uid,reputation,source,interpolated_raw,avg_stint_years,group_age_years,churn,past_stints,scandal_penalty,scandal_count
アキシブproject,44Ki44Kt44K344OWcHJvamVjdA,3,override,3.105,2.35,13.81,0.85,40,0.28,1
LINK START,TElOSyBTVEFSVA,2.5,interpolated,2.531,1.52,3.38,0.61,11,0.84,3
BiS,QmlT,3.5,interpolated,3.322,2.3,0,1,32,0,0
煌めき☆アンフォレント,54WM44KB44GN4piG44Ki44Oz44OV44Kp44Os44Oz44OI,3.5,interpolated,3.371,1.9,10.74,0.74,23,0,0
BPM15Q,QlBNMTVR/#google_vignette,3.5,interpolated,3.29,1.67,10.57,1,2,0,0
BLUEGOATS,QkxVRUdPQVRT,4,interpolated,3.974,2.65,4.72,0.5,4,0,0
HIBANA,SElCQU5B,4,interpolated,3.761,1.9,0,0,0,0,0
ゆるめるモ！,44KG44KL44KB44KL44Oi77yB,4,interpolated,4.07,4.28,0,0.65,11,0,0
風男塾,6aKo55S35aG-,4,interpolated,4.022,4.94,0,0.73,19,0,0
シンデレラ宣言！,44K344Oz44OH44Os44Op5a6j6KiA77yB,4,interpolated,4.236,3.22,5.74,0.44,7,0,0
Kolokol,S29sb2tvbA,5,interpolated,5,8.32,8.57,0,0,0,0
Quubi,UXV1Ymk,4.5,interpolated,4.69,3.48,4.84,0.2,1,0,0
CiON,Q2lPTg,3.5,interpolated,3.316,3.83,9.82,0.67,10,0.508,1
MAPA,TUFQQQ,5,interpolated,4.926,4.07,4.84,0,0,0,0
Lyrical School,bHlyaWNhbCBzY2hvb2w,4.5,interpolated,4.462,5.01,15.82,0.58,11,0,0
純情のアフィリア,57SU5oOF44Gu44Ki44OV44Kj44Oq44Ki,4,interpolated,3.814,4.38,0,0.83,35,0,0
LinQ,TGluUQ,4,interpolated,3.783,3.76,15.57,0.88,63,0,0
SITUASION,U0lUVUFTSU9O,4,interpolated,4.051,3.9,0,0.38,3,0.207,1
THE ORCHESTRA TOKYO,VEhFIE9SQ0hFU1RSQSBUT0tZTw,5,interpolated,4.768,4.06,5.41,0.29,2,0,0
衛星とカラテア,6KGb5pif44Go44Kr44Op44OG44Ki,3,interpolated,3.178,2.8,5.1,0.44,4,0.715,2
夢みるアドレセンス,5aSi44G_44KL44Ki44OJ44Os44K744Oz44K5,3.5,interpolated,3.276,1.97,0,0.86,37,0,0
ゆくえしれずつれづれ,44KG44GP44GI44GX44KM44Ga44Gk44KM44Gl44KM,2.5,interpolated,2.367,2.33,10.74,1,9,1.016,2
ミームトーキョー,44Of44O844Og44OI44O844Kt44On44O8,5,interpolated,4.8,4.95,0,0.38,3,0,0
Ringwanderung,UmluZ3dhbmRlcnVuZw,5,interpolated,5,4.8,6.68,0.29,2,0,0
Luce Twinkle Wink☆,THVjZSBUd2lua2xlIFdpbmvimIY,4.5,interpolated,4.267,4.8,11.99,0.64,9,0,0
LEIWAN,TEVJV0FO,4,interpolated,3.769,2.99,8.57,0.73,8,0,0
民族ハッピー組,RUdSe-OBiOOBkOOCi30,4,interpolated,3.885,2.99,11.49,0.65,13,0,0
真っ白なキャンバス,55yf44Gj55m944Gq44Kt44Oj44Oz44OQ44K5,4,interpolated,3.841,4.18,8.9,1,9,0,0
#ババババンビ,I-ODkOODkOODkOODkOODs-ODkw,3.5,interpolated,3.747,3.58,6.49,1,10,0,0
Ill,SWxs,4.5,interpolated,4.559,3.15,4.92,0,0,0,0
クマリデパート,44Kv44Oe44Oq44OH44OR44O844OI,4,interpolated,4.24,4.14,0,0.54,7,0,0
おこさまぷれ〜と。,44GK44GT44GV44G-44G344KM44Cc44Go44CC,4,interpolated,3.757,3.14,0,0.71,12,0,0
きのホ。,44GN44Gu44Ob44CC,5,interpolated,4.991,4.48,0,0.17,1,0,0
ライスボール,44Op44Kk44K544Oc44O844Or,5,interpolated,5,7.43,10.9,0.4,2,0,0
Palette Parade,UGFsZXR0ZSBQYXJhZGU,4.5,interpolated,4.374,3.05,4.89,0.3,3,0,0
Sweet Alley,U3dlZXQgQWxsZXk,4,interpolated,3.776,3.63,7.19,0.43,6,0.42,2
クララ・マグラ,44Kv44Op44Op44O744Oe44Kw44Op,3.5,interpolated,3.546,1.98,2.82,0.3,3,0.21,1
uijin,dWlqaW4,3.5,interpolated,3.699,3.16,9.65,1,4,0,0
PANDAMIC,UEFOREFNSUM,4,interpolated,3.88,4.46,10.15,1,11,0,0
みうみお,44G_44GG44G_44GK,5,interpolated,4.767,3.74,3.61,0,0,0,0
シュレーディンガーの犬,44K344Ol44Os44O844OH44Kj44Oz44Ks44O844Gu54qs,2.5,interpolated,2.37,2.01,5.74,0.63,10,1.12,4
YOLOZ,WU9MT1o,4.5,interpolated,4.28,2.57,2.56,0,0,0,0
zanka,emFua2E,4.5,interpolated,4.344,2.69,3.32,0.17,1,0,0
ポンコツコンポ,44Od44Oz44Kz44OE44Kz44Oz44Od,2.5,interpolated,2.708,1.76,6.95,0.65,17,0.715,2
AQ,QVE,4,interpolated,3.797,1.9,1.79,0,0,0,0
AsIs,QXNJcw,4,interpolated,4.041,2.49,2.33,0,0,0,0
Tohkei,VG9oa2Vp,4,interpolated,3.757,2.72,3.06,0.33,2,0.224,1
月刊PAM,5pyI5YiKUEFN,4.5,interpolated,4.628,3.57,0,0,0,0,0
AOAO,QU9BTw,3.5,interpolated,3.541,1.77,2.08,0.11,1,0.207,1
