group_name,name_romanji,current_tier,spotify_popularity,spotify_followers,composite_followers_plus_pop100,assignment,manual_tier,vs_fan_floor_2822,gap_vs_fan_floor,flag_high_pop_low_fans,flag_low_pop_high_fans
iON!,iON!,E,307,2824,33524,manual,E,>= fan_floor,2,,
ASP,ASP,D,23,7912,10212,inferred,,>= fan_floor,5090,,
TENRIN,TENRIN,D,35,6542,10042,manual,D,>= fan_floor,3720,,
PIGGS,PIGGS,D,25,7109,9609,inferred,,>= fan_floor,4287,,
chuLa,ChuLa,D,26,6968,9568,inferred,,>= fan_floor,4146,,
KLP48,KLP48,D,20,7410,9410,inferred,,>= fan_floor,4588,,
風男塾,Fudanjuku,D,22,7017,9217,inferred,,>= fan_floor,4195,,
Ringwanderung,Ringwanderung,D,23,6722,9022,manual,D,>= fan_floor,3900,,
ukka,Ukka,D,20,6973,8973,manual,D,>= fan_floor,4151,,
おやすみホログラム,Oyasumi,D,15,7458,8958,inferred,,>= fan_floor,4636,,Y
シンデレラ宣言！,Cinderella_Sengen!,D,22,6190,8390,inferred,,>= fan_floor,3368,,
手羽先センセーション,Tebasaki_Sensation,D,22,6160,8360,manual,D,>= fan_floor,3338,,
Luce Twinkle Wink☆,Luce_Twinkle_Wink☆,D,20,6106,8106,manual,D,>= fan_floor,3284,,
CiON,CiON,D,33,4791,8091,inferred,,>= fan_floor,1969,,
WHITE SCORPION,WHITE_SCORPION,D,28,5289,8089,inferred,,>= fan_floor,2467,,
可憐なアイボリー,Karen_na_Ivory,D,27,5279,7979,inferred,,>= fan_floor,2457,,
クマリデパート,,D,17,6228,7928,inferred,,>= fan_floor,3406,,Y
煌めき☆アンフォレント,Kirameki☆Unforent,D,18,6061,7861,manual,D,>= fan_floor,3239,,Y
マーキュロ,,D,29,4787,7687,inferred,,>= fan_floor,1965,,
りんご娘,Ringo_Musume,D,26,4764,7364,inferred,,>= fan_floor,1942,,
アキシブproject,Akishibu project,D,19,5166,7066,manual,D,>= fan_floor,2344,,
おこさまぷれ〜と。,Zero_Project,D,20,5014,7014,manual,D,>= fan_floor,2192,,
純情のアフィリア,,D,21,4823,6923,inferred,,>= fan_floor,2001,,
Onephony,Onephony,D,28,4091,6891,manual,D,>= fan_floor,1269,,
NUANCE,NUANCE,D,18,4924,6724,inferred,,>= fan_floor,2102,,Y
君に、胸キュン。,,D,28,3882,6682,inferred,,>= fan_floor,1060,,
新章 大阪☆春夏秋冬,Shunkashuutou,D,25,4118,6618,inferred,,>= fan_floor,1296,,
Kolokol,Kolokol,D,17,4906,6606,inferred,,>= fan_floor,2084,,Y
LinQ,LinQ,D,23,4268,6568,manual,D,>= fan_floor,1446,,
Quubi,Quubi,D,23,4241,6541,inferred,,>= fan_floor,1419,,
Peel the Apple,Peel_the_Apple,D,19,4598,6498,inferred,,>= fan_floor,1776,,
放課後プリンセス,,D,10,5463,6463,inferred,,>= fan_floor,2641,,Y
Pimm's,Pimm's,D,11,5303,6403,inferred,,>= fan_floor,2481,,Y
ジエメイ,Jiemei,D,29,3472,6372,inferred,,>= fan_floor,650,,
マザリ,Mazari,D,31,3125,6225,inferred,,>= fan_floor,303,,
NightOwl,NightOwl,D,8,5315,6115,inferred,,>= fan_floor,2493,,Y
マジカル・パンチライン,Majika,D,11,5007,6107,inferred,,>= fan_floor,2185,,Y
MAPA,MAPA,D,25,3595,6095,inferred,,>= fan_floor,773,,
群青の世界,Gunjou_no_Sekai,D,20,4056,6056,inferred,,>= fan_floor,1234,,
Merry BAD TUNE.,Merry_BAD_TUNE.,D,28,3177,5977,manual,D,>= fan_floor,355,,
THE ORCHESTRA TOKYO,THE_ORCHESTRA_TOKYO,D,22,3770,5970,inferred,,>= fan_floor,948,,
Ange☆Reve,Ange☆Reve,D,10,4959,5959,inferred,,>= fan_floor,2137,,Y
Ma’Scar’Piece,Ma'Scar'Piece,D,26,3223,5823,inferred,,>= fan_floor,401,,
SITUASION,Situasion,D,19,3885,5785,manual,D,>= fan_floor,1063,,
ドラマチックレコード,,D,29,2822,5722,inferred,,>= fan_floor,0,,
XTEEN,XTEEN,D,9,4671,5571,inferred,,>= fan_floor,1849,,Y
アンスリューム,,D,18,3770,5570,inferred,,>= fan_floor,948,,Y
Dancing Dolls,Dancing_Dolls,D,25,2899,5399,inferred,,>= fan_floor,77,,
AdamLilith,AdamLilith,D,24,2827,5227,inferred,,>= fan_floor,5,,
UtaGe!,UtaGe!,D,27,2519,5219,manual,D,< fan_floor,-303,Y,
Dorothy Little Happy,Dorothy_Little_Happy,D,6,4564,5164,manual,D,>= fan_floor,1742,,Y
miscast,Miscast,D,12,3864,5064,inferred,,>= fan_floor,1042,,Y
みうみお,Miumio,D,16,3402,5002,inferred,,>= fan_floor,580,,Y
PARADISES,PARADISES,D,6,4386,4986,inferred,,>= fan_floor,1564,,Y
アップアップガールズ（仮）,,D,8,4144,4944,inferred,,>= fan_floor,1322,,Y
衛星とカラテア,Eisei_to_Karatea,E,22,2737,4937,inferred,,< fan_floor,-85,,
LEIWAN,LEIWAN,D,17,3162,4862,manual,D,>= fan_floor,340,,Y
MyDearDarlin',MyDearDarlin',D,16,3255,4855,manual,D,>= fan_floor,433,,Y
VILLAINS HOUSE,VILLAINS_HOUSE,E,23,2529,4829,inferred,,< fan_floor,-293,,
3776,3776,D,11,3719,4819,inferred,,>= fan_floor,897,,Y
ラフ×ラフ,Rough_x_Laugh,E,23,2481,4781,inferred,,< fan_floor,-341,,
じゅじゅ,JUJU,D,8,3944,4744,inferred,,>= fan_floor,1122,,Y
AIBECK,AIBECK,D,15,3145,4645,manual,D,>= fan_floor,323,,Y
ふわふわ,FuWa_FuWa,D,9,3688,4588,manual,D,>= fan_floor,866,,Y
"Mirror,Mirror","Mirror,Mirror",E,21,2436,4536,inferred,,< fan_floor,-386,,
