name,uid,reputation,source,interpolated_raw,avg_stint_years,group_age_years,churn,past_stints,scandal_penalty,scandal_count
ナナコロビヤオキ,055cd81a-8c78-44ad-b74b-3f45fc551f9b,3,interpolated,3.014,0.62,1.06,0.36,4,0.207,1
BLK LiLiY,15c6385c-b09a-4dbc-89f1-fc96cef74fff,3,interpolated,3.212,1.3,4.29,1,7,0,0
まねきケチャ,44G-44Gt44GN44Kx44OB44Oj,4,interpolated,4.012,3.74,0,0.62,8,0,0
ふぇありーているず！,44G144GH44GC44KK44O844Gm44GE44KL44Ga77yB,3.5,interpolated,3.623,2.52,0,0.73,16,0,0
ふわふわ,44G144KP44G144KP,4,interpolated,3.971,5.1,9.86,0.85,17,0,0
ほくりくアイドル部,44G744GP44KK44GP44Ki44Kk44OJ44Or6YOo,4,interpolated,3.948,3.33,9.06,0.65,32,0,0
ぽけっとファントム,44G944GR44Gj44Go44OV44Kh44Oz44OI44Og,4,interpolated,3.81,2.92,1.02,0.64,9,0,0
あげもん！,44GC44GS44KC44KT77yB,3,interpolated,3.229,1.44,3.95,1,15,0,0
あたまのなかは8ビット⁉︎,44GC44Gf44G-44Gu44Gq44GL44GvOOODk-ODg-ODiOKBie-4jg,3,interpolated,3.156,0.96,0,0.74,17,0,0
あっとせぶんてぃーん,44GC44Gj44Go44Gb44G244KT44Gm44GD44O844KT,3.5,interpolated,3.255,1.82,0,0.83,35,0,0
いぎなり東北産,44GE44GO44Gq44KK5p2x5YyX55Sj,5,interpolated,5,8.68,9.91,0.1,1,0,0
おこさまぷれ〜と。,44GK44GT44GV44G-44G344KM44Cc44Go44CC,4,interpolated,3.843,2.81,0,0.59,10,0,0
おやすみホログラム,44GK44KE44GZ44G_44Ob44Ot44Kw44Op44Og,3.5,interpolated,3.617,2.98,0,0.8,8,0,0
かすみ草とステラ,44GL44GZ44G_6I2J44Go44K544OG44Op,4,interpolated,3.906,2.4,0,0.25,4,0,0
きのホ。,44GN44Gu44Ob44CC,4.5,interpolated,4.637,3.59,0,0.17,1,0,0
きゅるりんってしてみて,44GN44KF44KL44KK44KT44Gj44Gm44GX44Gm44G_44Gm,5,interpolated,4.971,4.2,4.45,0.2,1,0,0
こみっきゅおん！,44GT44G_44Gj44GN44KF44GK44KT77yB,3.5,interpolated,3.717,2.01,0,0.3,3,0,0
さくら学院,44GV44GP44KJ5a2m6Zmi,5,interpolated,5,11.25,0,0,0,0,0
さとりモンスター,44GV44Go44KK44Oi44Oz44K544K_44O8,3.5,interpolated,3.545,2.3,0,0.57,8,0,0
さよならステイチューン,44GV44KI44Gq44KJ44K544OG44Kk44OB44Ol44O844Oz,3.5,interpolated,3.546,2.04,0,0.5,6,0,0
じゅじゅ,44GY44KF44GY44KF,4,interpolated,3.838,3.28,0,0.67,6,0,0
じーくらむ！,44GY44O844GP44KJ44KA77yB,3.5,interpolated,3.263,1.61,5.52,1,10,0,0
みうみお,44G_44GG44G_44GK,4.5,interpolated,4.321,2.67,2.55,0,0,0,0
ぜろから☆すた→と,44Gc44KN44GL44KJ4piG44GZ44Gf4oaS44Go,3.5,interpolated,3.359,1.65,3.84,0.67,12,0,0
ぜんぶ君のせいだ。,44Gc44KT44G25ZCb44Gu44Gb44GE44Gg44CC,3.5,interpolated,3.638,2.68,0,0.74,14,0,0
つぼみ大革命,44Gk44G844G_5aSn6Z2p5ZG9,4,interpolated,3.908,4.65,15.26,0.82,32,0,0
でんぱ組.inc,44Gn44KT44Gx57WELmluYw,4,interpolated,4.22,6.88,15.09,0.93,14,0,0
なみだ色の消しごむ,44Gq44G_44Gg6Imy44Gu5raI44GX44GU44KA,4,interpolated,3.783,1.6,7.07,0.13,1,0,0
なんキニ！,44Gq44KT44Kt44OL77yB,3.5,interpolated,3.345,2.07,7.83,1,25,0,0
にっぽんワチャチャ,44Gr44Gj44G944KT44Ov44OB44Oj44OB44Oj,4,interpolated,4.091,2.59,5.34,0.4,4,0,0
のんふぃく！,44Gu44KT44G144GD44GP77yB,4.5,interpolated,4.463,2.94,4.25,0.11,1,0,0
ばってん少女隊,44Gw44Gj44Gm44KT5bCR5aWz6ZqK,5,interpolated,5,5.46,10.04,0.27,3,0,0
びっくえんじぇる,44Gz44Gj44GP44GI44KT44GY44GH44KL,4,interpolated,3.985,2.32,7.18,0.27,3,0,0
サクヤコノハナ,44K144Kv44Ok44Kz44OO44OP44OK,3.5,interpolated,3.437,2.11,8.32,0.71,20,0,0
シャニムニ＝パレード,44K344Oj44OL44Og44OL77yd44OR44Os44O844OJ,3.5,interpolated,3.632,2.08,66.4,0.53,9,0,0
シュレーディンガーの犬,44K344Ol44Os44O844OH44Kj44Oz44Ks44O844Gu54qs,3.5,interpolated,3.438,1.72,4.67,0.6,9,0,0
シンデレラ宣言！,44K344Oz44OH44Os44Op5a6j6KiA77yB,4,interpolated,4.121,2.62,4.67,0.38,6,0,0
ジエメイ,44K444Ko44Oh44Kk,4.5,interpolated,4.29,2.57,3.18,0.2,1,0,0
スチームガールズ,44K544OB44O844Og44Ks44O844Or44K6,3.5,interpolated,3.617,2.58,13.84,0.89,32,0,0
スパンコールグッドタイムズ,44K544OR44Oz44Kz44O844Or44Kw44OD44OJ44K_44Kk44Og44K6,4.5,interpolated,4.41,2.63,47.51,0.2,1,0,0
スワンスワンズ,44K544Ov44Oz44K544Ov44Oz44K6,4.5,interpolated,4.603,3.51,0,0,0,0,0
めろん畑a go go,44KB44KN44KT55WRYSBnbyBnbw,4,interpolated,4.042,3.35,0,0.54,7,0,0
ももいろクローバーZ,44KC44KC44GE44KN44Kv44Ot44O844OQ44O8Wg,5,interpolated,5,7.58,18.51,0.58,7,0,0
ゆくえしれずつれづれ,44KG44GP44GI44GX44KM44Ga44Gk44KM44Gl44KM,3.5,interpolated,3.383,2.33,9.68,1,9,0,0
ゆるめるモ！,44KG44KL44KB44KL44Oi77yB,4,interpolated,3.993,3.9,0,0.65,11,0,0
りんご娘,44KK44KT44GU5aiY,3.5,interpolated,3.67,3.36,0,0.82,18,0,0
われらがプワプワプーワプワ,44KP44KM44KJ44GM44OX44Ov44OX44Ov44OX44O844Ov44OX44Ov,4,interpolated,3.77,3.21,9.11,0.75,15,0,0
わーすた,44KP44O844GZ44Gf,5,interpolated,5,9.64,10.51,0.2,1,0,0
ゑんら,44KR44KT44KJ,5,interpolated,5,7.42,7.42,0,0,0,0
タイトル未定,44K_44Kk44OI44Or5pyq5a6a,4,interpolated,4.171,2.75,5.22,0.38,3,0,0
アイドルカレッジ,44Ki44Kk44OJ44Or44Kr44Os44OD44K4,3.5,interpolated,3.581,2.72,0,0.83,86,0,0
アキシブproject,44Ki44Kt44K344OWcHJvamVjdA,3,override,3.097,2.29,12.75,0.82,37,0.28,1
アップアップガールズ（仮）,44Ki44OD44OX44Ki44OD44OX44Ks44O844Or44K677yI5Luu77yJ,4,interpolated,4.007,5.77,0,0.81,13,0,0
アップアップガールズ（２）,44Ki44OD44OX44Ki44OD44OX44Ks44O844Or44K677yI77yS77yJ,4.5,interpolated,4.428,5.48,0,0.6,6,0,0
アリス十番,44Ki44Oq44K55Y2B55Wq,3.5,interpolated,3.652,2.83,18.51,0.91,31,0,0
アンスリューム,44Ki44Oz44K544Oq44Ol44O844Og,4,interpolated,3.791,2.46,6.3,0.46,6,0,0
イケてるハーツ,44Kk44Kx44Gm44KL44OP44O844OE,4,interpolated,3.819,4.42,0,0.81,29,0,0
エラバレシ,44Ko44Op44OQ44Os44K3,4,interpolated,4.004,3.67,0,0.61,11,0,0
カイジューバイミー,44Kr44Kk44K444Ol44O844OQ44Kk44Of44O8,5,interpolated,5,4.59,4.52,0,0,0,0
カミサマパレード,44Kr44Of44K144Oe44OR44Os44O844OJ,3.5,interpolated,3.404,1.01,0,0,0,0,0
カラフルスクリーム,44Kr44Op44OV44Or44K544Kv44Oq44O844Og,4.5,interpolated,4.296,3.48,8.47,0.47,7,0,0
ガラチア,44Ks44Op44OB44Ki,3,interpolated,3.164,1.08,1.76,1,10,0,0
キングサリ,44Kt44Oz44Kw44K144Oq,3.5,interpolated,3.474,1.75,3.18,0.55,6,0,0
クマリデパート,44Kv44Oe44Oq44OH44OR44O844OI,4.5,interpolated,4.482,3.63,0,0.31,4,0,0
クライセカイ,44Kv44Op44Kk44K744Kr44Kk,3.5,interpolated,3.28,0.65,0.93,0.18,2,0,0
クララ・マグラ,44Kv44Op44Op44O744Oe44Kw44Op,3.5,interpolated,3.473,1.24,1.76,0.3,3,0,0
クロスノエシス,44Kv44Ot44K544OO44Ko44K344K5,3.5,interpolated,3.705,3.3,6.11,1,6,0,0
グーグールル,44Kw44O844Kw44O844Or44Or,3.5,interpolated,3.4,2.5,7.24,1,6,0,0
グデイ,44Kw44OH44Kk,5,interpolated,5,5.42,5.42,0,0,0,0
・・・・・・・・・,44O744O744O744O744O744O744O744O744O7,4,interpolated,3.891,2.73,0,0.53,8,0,0
トナリア,44OI44OK44Oq44Ki,4,interpolated,3.805,2.01,0,0,0,0,0
ドラマチックレコード,44OJ44Op44Oe44OB44OD44Kv44Os44Kz44O844OJ,3.5,interpolated,3.654,1.7,2.79,0.3,3,0,0
ナト☆カン,44OK44OI4piG44Kr44Oz/#google_vignette,3.5,interpolated,3.737,3.43,13.56,0.8,41,0,0
ナナランド,44OK44OK44Op44Oz44OJ,3.5,interpolated,3.718,3.35,7,1,15,0,0
ニァピン,44OL44Kh44OU44Oz,3,interpolated,3.116,0.83,0,1,1,0,0
ネコプラpixx.,44ON44Kz44OX44OpcGl4eC4,3,interpolated,3.089,1.88,8.53,0.73,24,0.294,1
ノースリーブス,44OO44O844K544Oq44O844OW44K5,5,interpolated,5,16.84,0,0,0,0,0
ハニースパイスRe.,44OP44OL44O844K544OR44Kk44K5UmUu,3.5,interpolated,3.347,2.12,0,0.74,14,0,0
ハルニシオン,44OP44Or44OL44K344Kq44Oz,3,interpolated,3.213,0.51,0.5,0,0,0,0
バンドじゃないもん！MAXX NAKAYOSHI,44OQ44Oz44OJ44GY44KD44Gq44GE44KC44KT77yBTUFYWCBOQUtBWU9TSEk,5,interpolated,5,9.59,0,0.25,2,0,0
パラディーク,44OR44Op44OH44Kj44O844Kv,3.5,interpolated,3.271,1.13,4.27,0.65,13,0,0
パラレルサイダー,44OR44Op44Os44Or44K144Kk44OA44O8,3.5,interpolated,3.386,1.2,3.12,0.46,6,0,0
ピュアリーモンスター,44OU44Ol44Ki44Oq44O844Oi44Oz44K544K_44O8,4,interpolated,3.782,3.11,0,0.68,13,0,0
ピューパ!!,44OU44Ol44O844ORISE,4,interpolated,4.197,3.72,0,0.5,4,0,0
ファントムシータ,44OV44Kh44Oz44OI44Og44K344O844K_,3.5,interpolated,3.457,1.09,1.02,0,0,0,0
フィロソフィーのダンス,44OV44Kj44Ot44K944OV44Kj44O844Gu44OA44Oz44K5,5,interpolated,5,6.1,0,0.29,2,0,0
フューチャーサイダー,44OV44Ol44O844OB44Oj44O844K144Kk44OA44O8,3.5,interpolated,3.692,1.59,2.8,0.2,2,0,0
ベロティカ,44OZ44Ot44OG44Kj44Kr,3.5,interpolated,3.739,1.76,1.76,0,0,0,0
ポンコツコンポ,44Od44Oz44Kz44OE44Kz44Oz44Od,3.5,interpolated,3.448,1.67,5.89,0.59,13,0,0
マザリ,44Oe44K244Oq,3.5,interpolated,3.351,0.84,0.73,0,0,0,0
マジカル・パンチライン,44Oe44K444Kr44Or44O744OR44Oz44OB44Op44Kk44Oz,4.5,interpolated,4.507,4.88,0,0.5,5,0,0
マーキュロ,44Oe44O844Kt44Ol44Ot,4.5,interpolated,4.474,3.03,3.03,0.14,1,0,0
ミームトーキョー,44Of44O844Og44OI44O844Kt44On44O8,5,interpolated,4.81,4.26,0,0.25,2,0,0
メイビーME,44Oh44Kk44OT44O8TUU,4,interpolated,3.862,2.54,7,0.59,10,0,0
モノクローン,44Oi44OO44Kv44Ot44O844Oz,3,interpolated,3.219,1.31,5.23,1,20,0,0
