group_uid,group_name,group_name_romanji,current_letter_tier,group_tiers_letter_tier,tier_assignment_mode,manual_doc_tier,manual_doc_source,authoritative_rank,authoritative_position,authoritative_source_name,authoritative_match_method,authoritative_source_file,fans,popularity,x_followers,interp_score_finance,interp_score_policy,tier_if_finance_inferLetterTier,tier_if_reinterpolate_script,tier_if_policy_authoritative_else_max_D,notes
TEUgU1NFUkFGSU0,LE SSERAFIM,LE_SSERAFIM,S,S,authoritative_ranking_2025,,,S,5,LE SSERAFIM,exact_or_alias,public/data/reference/idol_group_rankings_2025_mapped.json,9697819,80,,4928.9095,9857819,S,S,S,Popularity/followers synced from idolsdiagram.com on 2026-05-06.
QkFCWU1FVEFM,BABYMETAL,BABYMETAL,S,S,authoritative_ranking_2025,,,S,4,Babymetal,exact_or_alias,public/data/reference/idol_group_rankings_2025_mapped.json,2967244,70,,1553.622,3107244,S,S,S,Popularity/followers synced from idolsdiagram.com on 2026-05-06.
5LmD5pyo5Z2CNDY,乃木坂46,Nogizaka46,S,S,authoritative_ranking_2025,,,S,1,乃木坂46,exact_or_alias,public/data/reference/idol_group_rankings_2025_mapped.json,1322989,62,,723.4945,1446989,S,A,S,Popularity/followers synced from idolsdiagram.com on 2026-05-06.
5pel5ZCR5Z2CNDY,日向坂46,Hinatazaka46,S,S,authoritative_ranking_2025,,,S,3,日向坂46,exact_or_alias,public/data/reference/idol_group_rankings_2025_mapped.json,347493,54,,227.7465,455493,S,B,S,Popularity/followers synced from idolsdiagram.com on 2026-05-06.
5qu75Z2CNDY,櫻坂46,Sakurazaka46,S,S,authoritative_ranking_2025,,,S,2,樱坂46,manual_position_uid,public/data/reference/idol_group_rankings_2025_mapped.json,226614,61,,174.307,348614,S,C,S,Popularity/followers synced from idolsdiagram.com on 2026-05-06.
QUtCNDg,AKB48,AKB48,A,A,authoritative_ranking_2025,,,A,10,AKB48,exact_or_alias,public/data/reference/idol_group_rankings_2025_mapped.json,550295,59,2100563,754.2601,668295,S,A,A,Popularity/followers synced from idolsdiagram.com on 2026-05-06.
RlJVSVRTIFpJUFBFUg,FRUITS ZIPPER,FRUITS_ZIPPER,A,A,manual_available_groups_doc,A,support/docs/scenario6_available_groups.txt,A,7,Fruits Zipper,exact_or_alias,public/data/reference/idol_group_rankings_2025_mapped.json,305959,61,1857642,585.5079,427959,S,A,A,Popularity/followers synced from idolsdiagram.com on 2026-05-06.
PUxPVkU,=LOVE,=LOVE,A,A,manual_available_groups_doc,A,support/docs/scenario6_available_groups.txt,A,8,=LOVE,exact_or_alias,public/data/reference/idol_group_rankings_2025_mapped.json,296768,68,3309498,878.2836,432768,S,A,A,Popularity/followers synced from idolsdiagram.com on 2026-05-06.
UGVyZnVtZQ,Perfume,Perfume,A,A,authoritative_ranking_2025,,,A,6,Perfume,exact_or_alias,public/data/reference/idol_group_rankings_2025_mapped.json,,,,0,500,F,F,A,missing_fans_and_popularity; Added to scenario 6 from Jpop Wiki ranking-source follow-up on 2026-04-22. Member UIDs linked from idols.json member-lin
Q1VUSUUgU1RSRUVU,CUTIE STREET,CUTIE_STREET,B,B,manual_available_groups_doc,B,support/docs/scenario6_available_groups.txt,B,13,Cutie Street,exact_or_alias,public/data/reference/idol_group_rankings_2025_mapped.json,238350,60,1110709,401.3168,358350,S,B,B,Popularity/followers synced from idolsdiagram.com on 2026-05-06.
44KC44KC44GE44KN44Kv44Ot44O844OQ44O8Wg,ももいろクローバーZ,Momoiro Clover Z,B,B,authoritative_ranking_2025,,,B,14,ももいろクローバーZ,exact_or_alias,public/data/reference/idol_group_rankings_2025_mapped.json,232986,50,,166.493,332986,S,C,B,Popularity/followers synced from idolsdiagram.com on 2026-05-06.
aUxpRkUh,iLiFE!,iLiFE!,B,B,manual_available_groups_doc,B,support/docs/scenario6_available_groups.txt,B,17,iLife!,exact_or_alias,public/data/reference/idol_group_rankings_2025_mapped.json,129753,61,1333932,392.6629,251753,S,B,B,Popularity/followers synced from idolsdiagram.com on 2026-05-06.
Q0FORFkgVFVORQ,CANDY TUNE,CANDY_TUNE,B,B,manual_available_groups_doc,B,support/docs/scenario6_available_groups.txt,B,20,Candy Tune,exact_or_alias,public/data/reference/idol_group_rankings_2025_mapped.json,125972,56,646456,248.2772,237972,S,B,B,Popularity/followers synced from idolsdiagram.com on 2026-05-06.
Tk1CNDg,NMB48,NMB48,B,B,authoritative_ranking_2025,,,B,18,NMB48,exact_or_alias,public/data/reference/idol_group_rankings_2025_mapped.json,91994,40,480662,182.1294,171994,S,C,B,Popularity/followers synced from idolsdiagram.com on 2026-05-06.
U0tFNDg,SKE48,SKE48,B,B,authoritative_ranking_2025,,,B,12,SKE48,exact_or_alias,public/data/reference/idol_group_rankings_2025_mapped.json,88903,35,786353,236.7221,158903,S,B,B,Popularity/followers synced from idolsdiagram.com on 2026-05-06.
SEtUNDg,HKT48,HKT48,B,B,authoritative_ranking_2025,,,B,15,HKT48,exact_or_alias,public/data/reference/idol_group_rankings_2025_mapped.json,78998,35,567659,188.0308,148998,S,C,B,Popularity/followers synced from idolsdiagram.com on 2026-05-06.
56eB56uL5oG15q-U5a-_5Lit5a2m,私立恵比寿中学,Shiritsu_Ebisu_Chugaku,B,B,authoritative_ranking_2025,,,B,16,私立恵比寿中学,exact_or_alias,public/data/reference/idol_group_rankings_2025_mapped.json,69264,41,53490,86.33,151264,S,C,B,Popularity/followers synced from idolsdiagram.com on 2026-05-06.
4omgTUU,≠ME,≠ME,B,B,manual_available_groups_doc,B,support/docs/scenario6_available_groups.txt,B,19,≠ME,manual_position_uid,public/data/reference/idol_group_rankings_2025_mapped.json,64622,51,1556393,394.5896,166622,S,B,B,
SEFOQQ,HANA,HANA,B,B,authoritative_ranking_2025,,,B,11,HANA,exact_or_alias,public/data/reference/idol_group_rankings_2025_mapped.json,,,,0,500,F,F,B,missing_fans_and_popularity; Added to scenario 6 from Jpop Wiki ranking-source follow-up on 2026-04-22. Member UIDs linked from idols.json member-lin
