idol_uid,idol_name,group_uid,group_name,start_date,end_date,member_color,leader,center,lead_singer,lead_dancer,host,content,streaming,style,call_leader,notes
b7f71d28-034b-4ec6-8aa4-08b898f413ee,逢田珠里依,4omSSk9Z,≒JOY,3/1/2022,,Bordeaux Yellow,2,,,,,1,3,4,,Additional member colors: Red (Penlight)
ab39e1ef-feb4-4d0c-ba0e-819c1449d398,天野香乃愛,4omSSk9Z,≒JOY,3/1/2022,,Light Pink Light Pink,,3,,,,1,4,2,,Additional member colors: Yellow (Penlight Color)
71cb6623-5199-4cc1-b4a4-0971b6b435e0,市原愛弓,4omSSk9Z,≒JOY,3/1/2022,,Purple,,3,,,,1,3,3,,
9f10b37c-29b8-4aca-999e-cd9c4592395c,江角怜音,4omSSk9Z,≒JOY,3/1/2022,,Royal Blue,,5,,4,3,1,2,,,
467eb1c0-0349-47ad-b918-7b2789aae410,大信田美月,4omSSk9Z,≒JOY,3/1/2022,,White,,1,,,,2,1,1,,Additional member colors: Light Blue
8e398e32-b32b-41c7-8791-bddbd4730bcd,大西葵,4omSSk9Z,≒JOY,3/1/2022,,Pink,,1,4,,,1,4,,,Additional member colors: Medium Blue
34180da9-ba3b-438a-bb13-9db7a95d9dbd,小澤愛実,4omSSk9Z,≒JOY,6/1/2022,,Light Yellow,5,,3,,1,2,1,,2,
e95be424-7347-42da-b0c4-6a58ac34f676,髙橋舞,4omSSk9Z,≒JOY,3/1/2022,,Orange,,,,,,1,3,,1,Additional member colors: Red
203c9904-8383-4b32-9f01-c5ceda9c9337,藤沢莉子,4omSSk9Z,≒JOY,3/1/2022,,Green,1,,2,3,,1,3,,,Additional member colors: White
4560127d-788f-4c87-882c-1d7eb222fb57,村山結香,4omSSk9Z,≒JOY,3/1/2022,,Light Red,,1,3,3,,1,3,,,
b08bbb4b-a33b-4ebb-a930-a35ea64bb5aa,山田杏佳,4omSSk9Z,≒JOY,3/1/2022,,Light Pink,,1,,,,1,3,2,,Additional member colors: Light Purple
808b921c-a6e1-48c5-bfc9-892d6e828e37,山野愛月,4omSSk9Z,≒JOY,3/1/2022,,Yellow Green,,1,,,,1,1,1,,Additional member colors: Light Blue
