idol_uid,idol_name,group_uid,group_name,start_date,end_date,member_color,leader,center,lead_singer,lead_dancer,host,content,streaming,style,call_leader,notes
35d4e27e-f5f8-4f61-a8f4-173ba36d1811,永田詩央里,4omgTUU,≠ME,2/1/2019,,Dark Blue,,2,,4,3,2,1,,,
cb19d915-2e81-4798-9d04-9252d6e91d3e,河口夏音,4omgTUU,≠ME,2/1/2019,,Orange,,,,,,1,2,2,1,Additional member colors: White
38913886-759c-482e-9a19-1ac5a7124abe,蟹沢萌子,4omgTUU,≠ME,2/1/2019,,Red,5,,3,,3,2,1,2,,Additional member colors: Light Blue
9a3ce340-f13d-485a-95d4-52b97a9e4984,菅波美玲,4omgTUU,≠ME,2/1/2019,,Light Blue,,,,,,1,2,2,,
ae52c990-523a-4da8-97d6-728a6dff404d,谷崎早耶,4omgTUU,≠ME,2/1/2019,,White,,3,,,,2,4,4,1,Additional member colors: White
183108d6-de47-4c4f-ac4f-b14a8c3e45d8,尾木波菜,4omgTUU,≠ME,2/1/2019,,Blue,,,,,1,1,1,4,,Additional member colors: White
b4ba6f0f-9251-4f29-b488-aaba294c4fe6,冨田菜々風,4omgTUU,≠ME,2/1/2019,,Green,,5,3,3,,1,1,2,,Additional member colors: Green
c58f2463-3df0-46b5-a466-0696ec2306f4,本田珠由記,4omgTUU,≠ME,2/1/2019,,Light Purple,,2,,,,1,1,,,Additional member colors: Light Blue
ad38aead-6901-47c9-afe0-f1d9aed516e5,落合希来里,4omgTUU,≠ME,2/1/2019,,Yellow,,,,4,,1,1,,,
ebd96467-2ab0-4557-a5a5-1b4904d0872a,鈴木瞳美,4omgTUU,≠ME,2/1/2019,,Light Pink,,3,,,,2,4,4,,
e436a6fa-896c-49d8-9d2f-80cf93d22698,櫻井もも,4omgTUU,≠ME,2/1/2019,,Pink,,2,4,2,3,1,3,,,
5363990d-3455-4c8c-bfea-da686140357e,川中子奈月心,4omgTUU,≠ME,4/8/2019,,Black,,,3,,,1,2,2,,Additional member colors: Black
