name,capacity,setting,city
1000 CLUB,500,indoor,Tokyo
americamura FANJ twice,500,indoor,Osaka
clubasia,600,indoor,Tokyo
COMTEC PORTBASE,500,indoor,Tokyo
DIAMOND HALL,500,indoor,Tokyo
duo MUSIC EXCHANGE,700,indoor,Tokyo
EBiS303,500,indoor,Tokyo
Ebisu Garden Hall,500,indoor,Tokyo
EX THEATER ROPPONGI,500,indoor,Tokyo
GARDEN新木場FACTORY,500,indoor,Tokyo
GOTANDA G7,500,indoor,Tokyo
GRIT,500,indoor,Tokyo
harevutai,500,indoor,Tokyo
KABUKICHO TOWER STAGE,500,indoor,Tokyo
Kanadevia Hall,500,indoor,Tokyo
KT Zepp Yokohama,2000,indoor,Yokohama
Kアリーナ横浜,20000,indoor,Yokohama
LaLa arena TOKYO-BAY,500,indoor,Chiba
LIQUIDROOM,1000,indoor,Tokyo
NAGOYA Reny Limited,500,indoor,Nagoya
P.A.R.M.S 秋葉原店,500,indoor,Tokyo
SHIBUYA DIVE,500,indoor,Tokyo
SHIBUYA PLEASURE PLEASURE,500,indoor,Tokyo
SHIBUYA RING,500,indoor,Tokyo
SHIBUYA VIDENT,500,indoor,Tokyo
Spotify O-EAST,1300,indoor,Tokyo
Spotify O-nest,500,indoor,Tokyo
Spotify O-WEST,500,indoor,Tokyo
Stellar Ball,500,indoor,Tokyo
TACHIKAWA STAGE GARDEN,500,indoor,Tokyo
TFTホール,500,indoor,Tokyo
The Garden Hall,1500,indoor,Tokyo
TwinBox AKIHABARA,200,indoor,Tokyo
UNIT,500,indoor,Tokyo
Veats SHIBUYA,300,indoor,Tokyo
ViblueEBISU,500,indoor,Tokyo
WOMB,500,indoor,Tokyo
WWW,400,indoor,Tokyo
WWW X,600,indoor,Tokyo
zephyr hall,500,indoor,Tokyo
Zepp DiverCity,2500,indoor,Tokyo
Zepp Haneda,2900,indoor,Tokyo
Zepp osaka Bayside,500,indoor,Osaka
Zepp Shinjuku,1500,indoor,Tokyo
うみかぜ公園 野外特設会場,500,outdoor,Tokyo
お台場R地区,500,outdoor,Tokyo
さいたまスーパーアリーナ,37000,indoor,Saitama
シティーホール五反田,500,indoor,Tokyo
シティホール五反田,500,indoor,Tokyo
スモールワールズ,500,indoor,Tokyo
ダイバーシティ東京 プラザ,500,indoor,Tokyo
ところざわサクラタウン,500,indoor,Tokorozawa
としま区民センター 多目的ホール,500,indoor,Tokyo
パシフィコ横浜,5000,indoor,Yokohama
ぴあアリーナMM,12000,indoor,Yokohama
ヒューリックホール東京,500,indoor,Tokyo
ベルーナドーム,35000,indoor,Saitama
ベルエポック美容専門学校 第2校舎,500,indoor,Tokyo
ベルサール渋谷ガーデン 他,500,indoor,Tokyo
ランドマークホール (Landmark Hall),500,indoor,Yokohama
横浜アリーナ,13000,indoor,Yokohama
歌舞伎町タワーステージ,500,indoor,Tokyo
海の森水上競技場,500,outdoor,Chiba
恵比寿ガーデンホール,500,indoor,Tokyo
恵比寿ガーデンルーム,500,indoor,Tokyo
国立代々木競技場 第一体育館,13000,indoor,Tokyo
渋谷CLUB QUATTRO,900,indoor,Tokyo
渋谷音楽堂,500,outdoor,Tokyo
渋谷複数会場,500,indoor,Tokyo
松下IMPホール,500,indoor,Tokyo
上野恩賜公園 野外ステージ,500,outdoor,Tokyo
新宿LOFT,500,indoor,Tokyo
新宿ReNY,500,indoor,Tokyo
新代田FEVER,300,indoor,Tokyo
神田スクエアホール,1000,indoor,Tokyo
神田明神ホール,500,indoor,Tokyo
赤羽ReNY,500,indoor,Tokyo
赤坂BLITZ,1298,indoor,Tokyo
代々木公園野外音楽堂,500,outdoor,Tokyo
大阪城音楽堂,500,outdoor,Osaka
大手町プレイスホール&カンファレンス,500,indoor,Tokyo
大塚 FUTURE:,500,indoor,Tokyo
東京ガーデンシアター,8000,indoor,Tokyo
東京キネマ倶楽部,500,indoor,Tokyo
東京ドーム,55000,indoor,Tokyo
東京国際フォーラム ホールA,5000,indoor,Tokyo
MOONDOG,1500,indoor,Taipei
YES24 WANDERLOCH HALL,1000,indoor,Seoul
東京体育館,500,indoor,Tokyo
東武動物公園 イベントステージ HOLA!,1308,outdoor,Saitama
桃配運動公園,1500,outdoor,Gifu
日産スタジアム,72000,indoor,Tokyo
日本武道館,8000,indoor,Tokyo
白金高輪SELENE b2,700,indoor,Tokyo
飛行船シアター,500,indoor,Tokyo
品川インターシティホール&貸会議室,500,indoor,Tokyo
品川グランドホール,500,indoor,Tokyo
豊洲PIT,3000,indoor,Tokyo
幕張メッセ,9000,indoor,Chiba
幕張海浜公園 イベントブロック特設会場,2000,outdoor,Chiba
国営ひたち海浜公園,20000,outdoor,Ibaraki
Mazda Zoom-Zoom Stadium Hiroshima,33000,outdoor,Hiroshima
エスコンフィールドHOKKAIDO,35000,outdoor,Hokkaido
六本木ヒルズアリーナ,8000,indoor,Tokyo
COOL JAPAN PARK OSAKA TTホール,1500,indoor,Osaka
烏丸半島芝生広場,5000,outdoor,Shiga
県民共済みらいホール,2500,indoor,Yokohama
芝公園（御成門駅前広場）,500,outdoor,Tokyo
銀座 BASE GRANBELL,500,indoor,Tokyo
ユナイテッド・シネマアクアシティお台場,300,indoor,Tokyo
広島国際会議場 ヒマワリ,200,indoor,Hiroshima
有明アリーナ,15000,indoor,Tokyo
立川ステージガーデン,500,indoor,Tachikawa
