scenario_id,scenario_opening_date,startup_group_order,group_uid,group_name,group_name_romanji,idol_uid,idol_name,idol_romaji,idol_hiragana,nickname,status_at_opening,membership_start_dates,membership_end_dates,member_name_in_group,member_colors,member_color_codes,membership_notes,birthday,age,height_cm,birthplace,languages,x_followers,wiki_url,portrait_photo_path,attribute_source,overall_rating,ability,strength,agility,natural_fitness,stamina,cute,pretty,pitch,tone,breath,rhythm,power,grace,clever,humor,talking,determination,teamwork,fashion,professionalism,injury_proneness,ambition,loyalty,manual_status_override,manual_notes
scenario6,7/5/2025,1,PUxPVkU,#NAME?,#NAME?,9cf08bc4-2aee-4745-80a6-2262e61d3b32,音嶋莉沙,Otoshima Risa,おとしまりさ,Risa-chan (りさちゃん) Rii-chan (りーちゃん),current,4/1/2017,,音嶋莉沙,Light Blue,0xadd8e6,Additional member colors: Pink,8/11/1998,26,159.6,Fukuoka,Japanese,243154,https://jpop.fandom.com/wiki/Otoshima_Risa,fetcher\database\picture_fandom\音嶋莉沙_portrait.jpg,synthesized_from_follower_model,17.37,87,14,18,17,16,16,18,15,16,16,17,16,18,15,15,15,16,15,20,16,5,19,18,,
scenario6,7/5/2025,1,PUxPVkU,#NAME?,#NAME?,41558c44-2be4-4992-9684-9431a17f0243,佐々木舞香,Sasaki Maika,ささきまいか,Maika (まいか),current,4/1/2017,,佐々木舞香,White,0xffffff,,1/21/2000,25,157,Aichi,Japanese,497152,https://jpop.fandom.com/wiki/Sasaki_Maika,fetcher\database\picture_fandom\佐々木舞香_portrait.jpg,synthesized_from_follower_model,17.39,87,16,16,18,16,17,19,19,20,20,19,17,17,16,14,17,17,18,16,15,6,18,16,,
scenario6,7/5/2025,1,PUxPVkU,#NAME?,#NAME?,e4a0b532-8215-4024-a796-55d59cf94b25,諸橋沙夏,Morohashi Sana,もろはしさな,Sanatsun (さなつん),current,4/1/2017,,諸橋沙夏,Light Green,0x90ee90,,8/3/1996,28,158,Fukushima,Japanese,217111,https://jpop.fandom.com/wiki/Morohashi_Sana,fetcher\database\picture_fandom\諸橋沙夏_portrait.jpg,synthesized_from_follower_model,17.23,85,16,16,15,17,16,16,20,19,20,19,15,16,17,18,18,16,16,15,16,5,15,18,,
scenario6,7/5/2025,1,PUxPVkU,#NAME?,#NAME?,f6847b46-eae4-43ef-8f54-3865d1dc94a9,大場花菜,Oba Hana,おおばはな,Hana-chan (はなちゃん),current,4/1/2017,,大場花菜,Orange,0xffa500,Additional member colors: Medium Blue,2/4/2000,25,159.8,Saitama,Japanese,260097,https://jpop.fandom.com/wiki/Oba_Hana,fetcher\database\picture_fandom\大場花菜_portrait.jpg,synthesized_from_follower_model,17.3,87,17,16,17,16,15,17,16,16,14,16,17,16,15,17,17,16,16,16,19,4,18,19,,
scenario6,7/5/2025,1,PUxPVkU,#NAME?,#NAME?,dcc951b3-55bf-4065-bb30-2a78b769a0b4,大谷映美里,Otani Emiri,おおたにえみり,Mirinya (みりにゃ),current,4/1/2017,,大谷映美里,Light Purple,0xcbc3e3,Additional member colors: Light Purple,3/15/1998,27,155,Tokyo,Japanese,464951,https://jpop.fandom.com/wiki/Otani_Emiri,fetcher\database\picture_fandom\大谷映美里_portrait.jpg,synthesized_from_follower_model,17.51,88,15,18,17,17,17,18,13,15,14,16,18,18,15,16,18,17,16,20,19,4,17,18,,
scenario6,7/5/2025,1,PUxPVkU,#NAME?,#NAME?,4e162c95-e9a1-463d-b825-73326ca6748e,瀧脇笙古,Takiwaki Shoko,たきわきしょうこ,Shoko (しょこ) Shokora (しょこら),current,4/1/2017,,瀧脇笙古,Yellow,0xffff00,"Additional member colors: Orange, Light Pink",7/9/2001,24,157,"Yokohama, Kanagawa",Japanese,227991,https://jpop.fandom.com/wiki/Takiwaki_Shoko,fetcher\database\picture_fandom\瀧脇笙古_portrait.jpg,synthesized_from_follower_model,17.15,85,17,16,19,20,16,16,16,16,20,15,16,16,15,16,16,18,16,14,19,4,20,18,,
scenario6,7/5/2025,1,PUxPVkU,#NAME?,#NAME?,e203088a-bbb9-410f-9945-c6534ed75e29,野口衣織,Noguchi Iori,のぐちいおり,Iori (いおり),current,4/1/2017,,野口衣織,Purple,0x800080,,4/26/2000,25,161,Ibaraki,Japanese,470863,https://jpop.fandom.com/wiki/Noguchi_Iori,fetcher\database\picture_fandom\野口衣織_portrait.jpg,synthesized_from_follower_model,17.2,86,20,17,19,18,14,17,19,19,19,20,20,18,14,15,16,18,17,17,18,4,20,19,,
scenario6,7/5/2025,1,PUxPVkU,#NAME?,#NAME?,b1a65b5b-436f-4f12-b345-147bd51a18fd,齋藤樹愛羅,Saito Kiara,さいとうきあら,Kyatan (きゃーたん) Kiara (きあら),current,4/1/2017,,齋藤樹愛羅,Light Pink,0xffb6c1,,11/26/2004,20,155.7,Tochigi,Japanese,358393,https://jpop.fandom.com/wiki/Saito_Kiara,fetcher\database\picture_fandom\齋藤樹愛羅_portrait.jpg,synthesized_from_follower_model,17.95,91,17,19,17,17,18,16,17,19,19,19,18,19,15,18,17,16,15,18,16,6,20,20,,
scenario6,7/5/2025,1,PUxPVkU,#NAME?,#NAME?,ad9ef028-1108-471b-b29a-f24be9815af4,髙松瞳,Takamatsu Hitomi,たかまつひとみ,Hitomin (ひとみん),current,4/1/2017,,髙松瞳,Red,0xff0000,,1/19/2001,24,163,Tokyo,Japanese,352370,https://jpop.fandom.com/wiki/Takamatsu_Hitomi,fetcher\database\picture_fandom\髙松瞳_portrait.jpg,synthesized_from_follower_model,16.61,83,18,17,19,17,15,18,16,18,15,18,17,18,19,20,18,16,19,16,20,3,20,18,,
scenario6,7/5/2025,1,PUxPVkU,#NAME?,#NAME?,2641cc39-6b4b-4d99-9a65-5ac99b9480e0,山本杏奈,Yamamoto Anna,やまもとあんな,"Annya (あんにゃ), Leader (リーダー), Captain (キャプテン)",current,9/6/2017,,山本杏奈,Royal Blue,0x4169e1,Additional member colors: Light Yellow; Additional member colors: Yellow,11/30/1997,27,149.1,Hiroshima,Japanese,217416,https://jpop.fandom.com/wiki/Yamamoto_Anna,fetcher\database\picture_fandom\山本杏奈_portrait.jpg,synthesized_from_follower_model,17.86,90,18,19,19,18,18,15,17,17,19,19,20,18,16,15,20,19,20,15,18,3,19,20,,
