scenario_id,scenario_opening_date,startup_group_order,group_uid,group_name,group_name_romanji,idol_uid,idol_name,idol_romaji,idol_hiragana,nickname,status_at_opening,membership_start_dates,membership_end_dates,member_name_in_group,member_colors,member_color_codes,membership_notes,birthday,age,height_cm,birthplace,languages,x_followers,wiki_url,portrait_photo_path,attribute_source,overall_rating,ability,strength,agility,natural_fitness,stamina,cute,pretty,pitch,tone,breath,rhythm,power,grace,clever,humor,talking,determination,teamwork,fashion,professionalism,injury_proneness,ambition,loyalty,manual_status_override,manual_notes
"scenario6","2025-07-05","1","PUxPVkU","​=LOVE","​=LOVE","9cf08bc4-2aee-4745-80a6-2262e61d3b32","音嶋莉沙","Otoshima Risa","おとしまりさ","Risa-chan (りさちゃん) Rii-chan (りーちゃん)","current","2017-04-01","","音嶋莉沙","Light Blue","0xadd8e6","Additional member colors: Pink","1998-08-11","26","159.6","Fukuoka","Japanese","243154","https://jpop.fandom.com/wiki/Otoshima_Risa","fetcher\database\picture_fandom\音嶋莉沙_portrait.jpg","persisted_from_scenario_json","16.37","82","14","18","17","16","16","18","15","16","16","17","16","18","15","15","15","16","15","20","16","5","19","18","",""
"scenario6","2025-07-05","1","PUxPVkU","​=LOVE","​=LOVE","41558c44-2be4-4992-9684-9431a17f0243","佐々木舞香","Sasaki Maika","ささきまいか","Maika (まいか)","current","2017-04-01","","佐々木舞香","White","0xffffff","","2000-01-21","25","157","Aichi","Japanese","497152","https://jpop.fandom.com/wiki/Sasaki_Maika","fetcher\database\picture_fandom\佐々木舞香_portrait.jpg","persisted_from_scenario_json","17.63","89","16","16","18","16","17","19","19","20","20","19","17","17","16","14","17","17","18","16","15","6","18","16","",""
"scenario6","2025-07-05","1","PUxPVkU","​=LOVE","​=LOVE","e4a0b532-8215-4024-a796-55d59cf94b25","諸橋沙夏","Morohashi Sana","もろはしさな","Sanatsun (さなつん)","current","2017-04-01","","諸橋沙夏","Light Green","0x90ee90","","1996-08-03","28","158","Fukushima","Japanese","217111","https://jpop.fandom.com/wiki/Morohashi_Sana","fetcher\database\picture_fandom\諸橋沙夏_portrait.jpg","persisted_from_scenario_json","17.03","85","16","16","15","17","16","16","20","19","20","19","15","16","17","18","18","16","16","15","16","5","15","18","",""
"scenario6","2025-07-05","1","PUxPVkU","​=LOVE","​=LOVE","f6847b46-eae4-43ef-8f54-3865d1dc94a9","大場花菜","Oba Hana","おおばはな","Hana-chan (はなちゃん)","current","2017-04-01","","大場花菜","Orange","0xffa500","Additional member colors: Medium Blue","2000-02-04","25","159.8","Saitama","Japanese","260097","https://jpop.fandom.com/wiki/Oba_Hana","fetcher\database\picture_fandom\大場花菜_portrait.jpg","persisted_from_scenario_json","16.05","80","17","16","17","16","15","17","16","16","14","16","17","16","15","17","17","16","16","16","19","4","18","19","",""
"scenario6","2025-07-05","1","PUxPVkU","​=LOVE","​=LOVE","dcc951b3-55bf-4065-bb30-2a78b769a0b4","大谷映美里","Otani Emiri","おおたにえみり","Mirinya (みりにゃ)","current","2017-04-01","","大谷映美里","Light Purple","0xcbc3e3","Additional member colors: Light Purple","1998-03-15","27","155","Tokyo","Japanese","464951","https://jpop.fandom.com/wiki/Otani_Emiri","fetcher\database\picture_fandom\大谷映美里_portrait.jpg","persisted_from_scenario_json","16.53","83","15","18","17","17","17","18","13","15","14","16","18","18","15","16","18","17","16","20","19","4","17","18","",""
"scenario6","2025-07-05","1","PUxPVkU","​=LOVE","​=LOVE","4e162c95-e9a1-463d-b825-73326ca6748e","瀧脇笙古","Takiwaki Shoko","たきわきしょうこ","Shoko (しょこ) Shokora (しょこら)","current","2017-04-01","","瀧脇笙古","Yellow","0xffff00","Additional member colors: Orange, Light Pink","2001-07-09","24","157","Yokohama, Kanagawa","Japanese","227991","https://jpop.fandom.com/wiki/Takiwaki_Shoko","fetcher\database\picture_fandom\瀧脇笙古_portrait.jpg","persisted_from_scenario_json","16.46","82","17","16","19","20","16","16","16","16","20","15","16","16","15","16","16","18","16","14","19","4","20","18","",""
"scenario6","2025-07-05","1","PUxPVkU","​=LOVE","​=LOVE","e203088a-bbb9-410f-9945-c6534ed75e29","野口衣織","Noguchi Iori","のぐちいおり","Iori (いおり)","current","2017-04-01","","野口衣織","Purple","0x800080","","2000-04-26","25","161","Ibaraki","Japanese","470863","https://jpop.fandom.com/wiki/Noguchi_Iori","fetcher\database\picture_fandom\野口衣織_portrait.jpg","persisted_from_scenario_json","17.58","88","20","17","19","18","14","17","19","19","19","20","20","18","14","15","16","18","17","17","18","4","20","19","",""
"scenario6","2025-07-05","1","PUxPVkU","​=LOVE","​=LOVE","b1a65b5b-436f-4f12-b345-147bd51a18fd","齋藤樹愛羅","Saito Kiara","さいとうきあら","Kyatan (きゃーたん) Kiara (きあら)","current","2017-04-01","","齋藤樹愛羅","Light Pink","0xffb6c1","","2004-11-26","20","155.7","Tochigi","Japanese","358393","https://jpop.fandom.com/wiki/Saito_Kiara","fetcher\database\picture_fandom\齋藤樹愛羅_portrait.jpg","persisted_from_scenario_json","17.55","88","17","19","17","17","18","16","17","19","19","19","18","19","15","18","17","16","15","18","16","6","20","20","",""
"scenario6","2025-07-05","1","PUxPVkU","​=LOVE","​=LOVE","ad9ef028-1108-471b-b29a-f24be9815af4","髙松瞳","Takamatsu Hitomi","たかまつひとみ","Hitomin (ひとみん)","current","2017-04-01","","髙松瞳","Red","0xff0000","","2001-01-19","24","163","Tokyo","Japanese","352370","https://jpop.fandom.com/wiki/Takamatsu_Hitomi","fetcher\database\picture_fandom\髙松瞳_portrait.jpg","persisted_from_scenario_json","17.26","87","18","17","19","17","15","18","16","18","15","18","17","18","19","20","18","16","19","16","20","3","20","18","",""
"scenario6","2025-07-05","1","PUxPVkU","​=LOVE","​=LOVE","2641cc39-6b4b-4d99-9a65-5ac99b9480e0","山本杏奈","Yamamoto Anna","やまもとあんな","Annya (あんにゃ), Leader (リーダー), Captain (キャプテン)","current","2017-09-06","","山本杏奈","Royal Blue","0x4169e1","Additional member colors: Light Yellow; Additional member colors: Yellow","1997-11-30","27","149.1","Hiroshima","Japanese","217416","https://jpop.fandom.com/wiki/Yamamoto_Anna","fetcher\database\picture_fandom\山本杏奈_portrait.jpg","persisted_from_scenario_json","17.78","89","18","19","19","18","18","15","17","17","19","19","20","18","16","15","20","19","20","15","18","3","19","20","",""
"scenario6","7/5/2025","2","aUxpRkUh","iLiFE!","iLiFE!","112c6285-2b64-423f-aecc-9792a019fa67","心花りり","Konoka Riri","このかりり","Riri-chan (りりちゃん)","current","2/25/2021","","心花りり","Red (Yumeiro H!L!T / iLiFE!)","0xff0000","","5/19/1999","26","156","Miyagi","Japanese","164149","https://jpop.fandom.com/wiki/Konoka_Riri","fetcher\database\picture_fandom\心花りり_portrait.jpg","synthesized_from_follower_model","17.71","90","15","17","17","16","13","17","20","19","19","17","16","17","13","15","16","17","18","17","14","2","14","16","",""
"scenario6","7/5/2025","2","aUxpRkUh","iLiFE!","iLiFE!","890b101f-f7b0-4111-b495-5137a2aca824","あいす","Aisu","あいす","","current","7/11/2022","","あいす","Blue (i-COL / YAMINABE) White (iLiFE!)","0x0000ff","","1/23/2006","19","152","Tokyo","Japanese","243188","https://jpop.fandom.com/wiki/Aisu","fetcher\database\picture_fandom\あいす_portrait.jpg","synthesized_from_follower_model","16.8","85","16","19","18","18","18","13","19","15","18","18","19","17","15","17","16","14","14","18","20","8","18","16","",""
"scenario6","7/5/2025","2","aUxpRkUh","iLiFE!","iLiFE!","256177bf-8043-4c43-9e77-c9838fcbf245","福丸うさ","Fukumaru Usa","ふくまるうさ","","current","7/15/2023","","福丸うさ","Yellow (ZUTTOMOTTO / iLiFE!)","0xffff00","","1/26/2004","21","159","Japan","Japanese","138633","https://jpop.fandom.com/wiki/Fukumaru_Usa","fetcher\database\picture_fandom\福丸うさ_portrait.jpg","synthesized_from_follower_model","16.95","86","15","14","15","17","15","12","17","16","14","16","15","16","15","18","14","20","15","16","17","4","19","16","",""
"scenario6","7/5/2025","2","aUxpRkUh","iLiFE!","iLiFE!","8006b0ec-ead5-43fc-bb0e-6bb9f579b1c4","若葉のあ","Wakaba Noa","わかばのあ","Noa-nya (のあにゃ)","current","9/12/2023","","若葉のあ","Green","0x008000","","7/7/2008","17","164","Gifu","Japanese","161244","https://jpop.fandom.com/wiki/Wakaba_Noa","fetcher\database\picture_fandom\若葉のあ_portrait.jpg","synthesized_from_follower_model","17.22","88","16","14","17","17","15","17","18","17","16","17","15","16","15","15","15","17","14","17","15","4","15","18","",""
"scenario6","7/5/2025","2","aUxpRkUh","iLiFE!","iLiFE!","2a3f475a-312d-43b5-ace9-5c66b2df9784","那蘭のどか","Nara Nodoka","ならのどか","","current","9/28/2024","8/27/2025","那蘭のどか","Pink","0xffc0cb","","10/12/2005","19","156","Aichi","Japanese","134564","https://jpop.fandom.com/wiki/Nara_Nodoka","fetcher\database\picture_fandom\那蘭のどか_portrait.jpg","synthesized_from_follower_model","16.1","80","16","15","15","17","16","15","14","18","17","18","17","17","15","15","16","13","13","18","6","7","14","17","",""
"scenario6","7/5/2025","2","aUxpRkUh","iLiFE!","iLiFE!","bdda9cba-8c14-400a-81d6-9f6a91c60a5f","空詩かれん","Sonata Karen","そなたかれん","Karen-ten (カレンてん)","current","1/20/2025","","空詩かれん","Black (monogatari) Blue (iLiFE!)","0x000000","","7/10/2000","25","155","Tokyo","Japanese","121050","https://jpop.fandom.com/wiki/Sonata_Karen","fetcher\database\picture_fandom\空詩かれん_portrait.jpg","synthesized_from_follower_model","15.6","79","16","15","13","17","13","14","14","15","12","18","18","16","14","15","16","18","17","13","18","3","19","16","",""
"scenario6","7/5/2025","2","aUxpRkUh","iLiFE!","iLiFE!","77a5d5c2-cb47-4523-b18f-c1f18476e4cb","虹羽みに","Kohane Mini","こはねみに","","current","5/9/2025","","虹羽みに","Light Blue","0xadd8e6","","3/2/2010","15","150","Tokyo","Japanese","148596","https://jpop.fandom.com/wiki/Kohane_Mini","fetcher\database\picture_fandom\虹羽みに_portrait.jpg","synthesized_from_follower_model","16.5","84","14","17","15","16","18","12","14","13","15","15","14","17","13","14","15","15","17","13","16","5","20","17","",""
"scenario6","7/5/2025","2","aUxpRkUh","iLiFE!","iLiFE!","9871efc4-1501-41eb-a430-94fd34bf4015","純嶺みき","Sumire Miki","すみれみき","","current","5/10/2025","","純嶺みき","Purple","0x800080","","4/12/2003","22","164.5","Kanagawa","Japanese","101467","https://jpop.fandom.com/wiki/Sumire_Miki","fetcher\database\picture_fandom\純嶺みき_portrait.jpg","synthesized_from_follower_model","15.09","75","17","16","15","18","15","17","14","16","13","15","19","18","12","13","15","19","18","14","16","4","15","14","",""
"scenario6","7/5/2025","2","aUxpRkUh","iLiFE!","iLiFE!","39648c9a-5e5c-47b9-9145-4437d165330e","小熊まむ","Koguma Mamu","こぐままむ","","current","5/11/2025","","小熊まむ","Orange","0xffa500","","11/23/2004","20","165.9","Nagano","Japanese","121041","https://jpop.fandom.com/wiki/Koguma_Mamu","fetcher\database\picture_fandom\小熊まむ_portrait.jpg","synthesized_from_follower_model","14.93","74","17","13","15","16","13","17","14","13","16","15","15","15","12","14","15","18","16","13","16","5","14","15","",""
"scenario6","7/5/2025","3","6auY5ba644Gu44Gq44Gn44GX44GT","高嶺のなでしこ","Takane_no_Nadeshiko","5c75a6ef-154d-4402-b65b-cb9dcfb34a70","春野莉々","Haruno Riri","はるのりり","","current","7/10/2022","7/31/2025","春野莉々","Green","0x008000","","1/16/2004","21","158","Nagano","Japanese","14000","https://jpop.fandom.com/wiki/Haruno_Riri","fetcher\database\picture_fandom\春野莉々_portrait.jpg","synthesized_from_follower_model","10.49","54","15","14","12","12","13","11","18","17","18","17","13","13","13","14","14","7","10","7","6","8","13","14","",""
