name,uid,formed_date,formed_date_source,formed_date_precision
"アキシブproject",44Ki44Kt44K344OWcHJvamVjdA,2012-10-05,,
"LINK START",TElOSyBTVEFSVA,2023-03-11,,
"BiS",QmlT,2019-06-11,suggestion_medium,
"煌めき☆アンフォレント",54WM44KB44GN4piG44Ki44Oz44OV44Kp44Os44Oz44OI,2015-10-31,,
"BPM15Q",QlBNMTVR/#google_vignette,2016-01-01,,
"BLUEGOATS",QkxVRUdPQVRT,2021-11-07,,
"HIBANA",SElCQU5B,2024-01-01,jpop_fandom_years,year
"ゆるめるモ！",44KG44KL44KB44KL44Oi77yB,2019-09-25,,
"風男塾",6aKo55S35aG-,2007-09-24,suggestion_medium,
"シンデレラ宣言！",44K344Oz44OH44Os44Op5a6j6KiA77yB,2020-11-01,,
"Kolokol",S29sb2tvbA,2018-01-01,,
"Quubi",UXV1Ymk,2021-09-26,,
"CiON",Q2lPTg,2016-10-01,,
"MAPA",TUFQQQ,2021-09-25,,
"Lyrical School",bHlyaWNhbCBzY2hvb2w,2010-10-01,,
"純情のアフィリア",57SU5oOF44Gu44Ki44OV44Kj44Oq44Ki,2008-01-01,ja_wikipedia_lead_結成,year
"LinQ",TGluUQ,2011-01-01,,
"SITUASION",U0lUVUFTSU9O,2020-01-01,jpop_fandom_years,year
"THE ORCHESTRA TOKYO",VEhFIE9SQ0hFU1RSQSBUT0tZTw,2021-02-27,,
"衛星とカラテア",6KGb5pif44Go44Kr44Op44OG44Ki,2021-06-21,,
"夢みるアドレセンス",5aSi44G_44KL44Ki44OJ44Os44K744Oz44K5,2012-01-01,ja_wikipedia_活動期間,year
"ゆくえしれずつれづれ",44KG44GP44GI44GX44KM44Ga44Gk44KM44Gl44KM,2015-11-01,,
"ミームトーキョー",44Of44O844Og44OI44O844Kt44On44O8,2019-07-31,ja_wikipedia_活動期間,day
"Ringwanderung",UmluZ3dhbmRlcnVuZw,2019-11-23,,
"Luce Twinkle Wink☆",THVjZSBUd2lua2xlIFdpbmvimIY,2014-08-01,,
"LEIWAN",TEVJV0FO,2018-01-01,,
"民族ハッピー組",RUdSe-OBiOOBkOOCi30,2015-02-01,,
"真っ白なキャンバス",55yf44Gj55m944Gq44Kt44Oj44Oz44OQ44K5,2017-09-01,,
"#ババババンビ",I-ODkOODkOODkOODkOODs-ODkw,2020-01-30,,
"Ill",SWxs,2021-08-27,,
"クマリデパート",44Kv44Oe44Oq44OH44OR44O844OI,2016-03-27,,
"おこさまぷれ〜と。",44GK44GT44GV44G-44G344KM44Cc44Go44CC,2021-01-01,jpop_fandom_years,year
"きのホ。",44GN44Gu44Ob44CC,2021-03-01,suggestion_medium,
"ライスボール",44Op44Kk44K544Oc44O844Or,2015-09-01,,
"Palette Parade",UGFsZXR0ZSBQYXJhZGU,2021-09-05,,
"Sweet Alley",U3dlZXQgQWxsZXk,2019-05-19,,
"クララ・マグラ",44Kv44Op44Op44O744Oe44Kw44Op,2023-10-01,,
"uijin",dWlqaW4,2016-12-03,,
"PANDAMIC",UEFOREFNSUM,2016-06-01,,
"みうみお",44G_44GG44G_44GK,2022-12-18,,
"シュレーディンガーの犬",44K344Ol44Os44O844OH44Kj44Oz44Ks44O844Gu54qs,2020-11-01,,
"YOLOZ",WU9MT1o,2024-01-04,,
"zanka",emFua2E,2023-04-01,,
"ポンコツコンポ",44Od44Oz44Kz44OE44Kz44Oz44Od,2019-08-16,,
"AQ",QVE,2024-10-12,,
"AsIs",QXNJcw,2024-03-29,,
"Tohkei",VG9oa2Vp,2023-07-06,,
"月刊PAM",5pyI5YiKUEFN,2023-01-01,ja_wikipedia_lead_結成,year
"AOAO",QU9BTw,2024-06-27,,
"FOKALITE",Rk9LQUxJVEU,2024-01-01,jpop_fandom_years,year
"Melty BeaR",TWVsdHkgQmVhUg,2024-09-01,,
"FRUITPOCHETTE",RlJVSVRQT0NIRVRURQ,2012-12-23,,
"NUANCE",TlVBTkNF,2017-03-01,,
"リルネード",44Oq44Or44ON44O844OJ,2022-09-18,suggestion_medium,
"アンスリューム",44Ki44Oz44K544Oq44Ol44O844Og,2019-03-17,,
"MyDearDarlin'",TXlEZWFyRGFybGluJw,2020-01-26,,
"AIBECK",QUlCRUNL,2017-01-01,,
"美味しい曖昧",576O5ZGz44GX44GE5puW5pin,2020-01-01,jpop_fandom_years,year
"LINKL PLANET",TElOS0wgUExBTkVU,2022-03-21,,
"MAGMAZ",TUFHTUFa,2022-06-08,,
"AZATOY",QVpBVE9Z,2023-09-15,,
"Finger Runs",RmluZ2VyIFJ1bnM,2022-12-01,,
"花魁道中",6Iqx6a2B6YGT5Lit,2023-11-30,,
"びっくえんじぇる",44Gz44Gj44GP44GI44KT44GY44GH44KL,2018-04-29,,
"鳴ル神",6bO044Or56We,2013-01-01,ja_wikipedia_lead_結成,year
"ヤなことそっとミュート",44Ok44Gq44GT44Go44Gd44Gj44Go44Of44Ol44O844OI,2016-01-01,ja_wikipedia_活動期間,year
"ニァピン",44OL44Kh44OU44Oz,2011-12-01,ja_wikipedia_活動期間,month
"BLACKNAZARENE",QkxBQ0tOQVpBUkVORQ,2018-01-01,,
"おやすみホログラム",44GK44KE44GZ44G_44Ob44Ot44Kw44Op44Og,2014-01-01,ja_wikipedia_活動期間,year
"#2i2",IzJpMg,2020-12-03,,
"STAiNY",U1RBaU5Z,2021-01-02,,
"diig",ZGlpZw,2024-09-14,,
"キングサリ",44Kt44Oz44Kw44K144Oq,2022-04-30,,
"Axelight",QXhlbGlnaHQ,2022-05-01,,
"あっとせぶんてぃーん",44GC44Gj44Go44Gb44G244KT44Gm44GD44O844KT,2016-01-01,jpop_fandom_years,year
"#Mooove!",I01vb292ZSE,2023-04-01,,
"太陽と踊れ月夜に唄え",5aSq6Zm944Go6LiK44KM5pyI5aSc44Gr5ZSE44GI,2023-07-28,,
"さよならステイチューン",44GV44KI44Gq44KJ44K544OG44Kk44OB44Ol44O844Oz,2020-11-01,ja_wikipedia_lead_結成,month
"Alcute！",QWxjdXRl77yB,2023-07-24,,
"hakanai",aGFrYW5haQ,2023-12-21,,
"ラナキュラ",44Op44OK44Kt44Ol44Op,2023-02-26,,
"スパンコールグッドタイムズ",44K544OR44Oz44Kz44O844Or44Kw44OD44OJ44K_44Kk44Og44K6,1978-01-01,,
"Candye♡Syrup",Q2FuZHll4pmhU3lydXA,2017-01-01,jpop_fandom_years,year
"PRSMIN",UFJTTUlO,2021-05-25,,
"透色ドロップ",6YCP6Imy44OJ44Ot44OD44OX,,,
"カラフルスクリーム",44Kr44Op44OV44Or44K544Kv44Oq44O844Og,2017-01-14,,
"Finally",RmluYWxseQ,2021-04-23,,
"パラディーク",44OR44Op44OH44Kj44O844Kv,2021-03-27,,
"lonlium",bG9ubGl1bQ,2022-01-01,jpop_fandom_years,year
"Hellzapoppin'",SGVsbHphcG9wcGluJw,2020-09-01,,
"selfish",c2VsZmlzaA,2023-01-01,jpop_fandom_years,year
"1つ足りない賽は投げられた",MeOBpOi2s-OCiuOBquOBhOizveOBr-aKleOBkuOCieOCjOOBnw,2022-02-27,suggestion_medium,
".LiNIXLiNE.",LkxpTklYTGlORS4,2022-01-01,jpop_fandom_years,year
"ルージュブック",44Or44O844K444Ol44OW44OD44Kv,2023-03-15,,
"Chalca",Q2hhbGNh,2024-10-05,suggestion_medium,
"パラレルサイダー",44OR44Op44Os44Or44K144Kk44OA44O8,2022-05-22,,
"ぽけっとファントム",44G944GR44Gj44Go44OV44Kh44Oz44OI44Og,2024-06-26,,
"kolme",a29sbWU,2015-01-01,jpop_fandom_years,year
"MIGMA SHELTER",TUlHTUEgU0hFTFRFUg,2017-02-01,,
"BELLRING少女ハート",QkVMTFJJTkflsJHlpbPjg4_jg7zjg4g,2012-01-01,jpop_fandom_years,year
"Payrin's",UGF5cmluJ3M,2016-09-01,,
"airattic",YWlyYXR0aWM,2022-01-31,,
"シャニムニ＝パレード",44K344Oj44OL44Og44OL77yd44OR44Os44O844OJ,1959-02-11,,
"9DayzGlitchClubTokyo",OURheXpHbGl0Y2hDbHViVG9reW8,2020-01-01,jpop_fandom_years,year
"カイジューバイミー",44Kr44Kk44K444Ol44O844OQ44Kk44Of44O8,2020-12-27,,
"ルルネージュ",44Or44Or44ON44O844K444Ol,2018-11-01,,
"瞬きもせず",556s44GN44KC44Gb44Ga,,,
"LIT MOON",TElUIE1PT04,2023-02-26,,
"FR2PON!",RlIyUE9OIQ,2021-06-18,,
"ponderosa may bloom",cG9uZGVyb3NhIG1heSBibG9vbQ,2024-03-08,,
"SPRISE",U1BSSVNF,2019-06-01,,
"脳内パステル",6ISz5YaF44OR44K544OG44Or,2020-06-23,,
"W.ダブルヴィー",Vy7jg4Djg5bjg6vjg7TjgqPjg7w,2023-12-09,suggestion_medium,
"限りなく白く",6ZmQ44KK44Gq44GP55m944GP,2023-07-05,,
"THE ENCORE",VEhFIEVOQ09SRQ,2023-03-01,,
"クライセカイ",44Kv44Op44Kk44K744Kr44Kk,2024-08-01,,
"こみっきゅおん！",44GT44G_44Gj44GN44KF44GK44KT77yB,2021-01-01,jpop_fandom_years,year
"Task have Fun",VGFzayBoYXZlIEZ1bg,2016-05-01,ja_wikipedia_活動期間,month
"tipToe.",dGlwVG9lLg,2016-11-02,,
"アイドルカレッジ",44Ki44Kk44OJ44Or44Kr44Os44OD44K4,2009-02-01,suggestion_medium,
"#ジューロック",I-OCuOODpeODvOODreODg-OCrw,2020-06-21,,
"さとりモンスター",44GV44Go44KK44Oi44Oz44K544K_44O8,2014-01-01,jpop_fandom_years,year
"SOMOSOMO",U09NT1NPTU8,2019-07-01,,
".BPM",LkJQTQ,2020-07-01,,
"天使にはなれない",5aSp5L2_44Gr44Gv44Gq44KM44Gq44GE,2021-01-01,jpop_fandom_years,year
"ぜろから☆すた→と",44Gc44KN44GL44KJ4piG44GZ44Gf4oaS44Go,2021-09-01,,
"TOKYOてふてふ",VE9LWU_jgabjgbXjgabjgbU,2020-12-31,,
"Flower＊Hour",Rmxvd2Vy77yKSG91cg,2010-01-01,jpop_fandom_years,year
"HiiT Factory",SGlpVCBGYWN0b3J5,2023-01-01,ja_wikipedia_活動期間,year
"PASTEL RADIO",UEFTVEVMIFJBRElP,2024-03-27,,
"my fav",bXkgZmF2,2017-01-01,jpop_fandom_years,year
"里咲りさ",6YeM5ZKy44KK44GV,2012-01-01,ja_wikipedia_活動期間,year
"HAPPY CREATORS",SEFQUFkgQ1JFQVRPUlM,2024-10-01,,
"Beloved",QmVsb3ZlZA,,,
"HONEY POPCORN",SE9ORVkgUE9QQ09STg,2018-03-21,,
"THE HOOPERS",VEhFIEhPT1BFUlM,2014-01-01,,
"3776",Mzc3Ng,2012-01-01,jpop_fandom_years,year
"開歌-かいか-",6ZaL5q2MLeOBi-OBhOOBiy0,2019-01-01,ja_wikipedia_lead_結成,year
"雨模様のソラリス",6Zuo5qih5qeY44Gu44K944Op44Oq44K5,2021-01-13,suggestion_medium,
"電影と少年CQ",6Zu75b2x44Go5bCR5bm0Q1E,2016-01-01,ja_wikipedia_lead_結成,year
"EMPATHY",RU1QQVRIWQ,2021-12-19,,
"かすみ草とステラ",44GL44GZ44G_6I2J44Go44K544OG44Op,2021-05-23,suggestion_medium,
"棘-おどろ-",5qOYLeOBiuOBqeOCjS0,2017-01-01,ja_wikipedia_lead_結成,year
"あたまのなかは8ビット⁉︎",44GC44Gf44G-44Gu44Gq44GL44GvOOODk-ODg-ODiOKBie-4jg,,,
"われらがプワプワプーワプワ",44KP44KM44KJ44GM44OX44Ov44OX44Ov44OX44O844Ov44OX44Ov,2016-05-26,,
"点染テンセイ少女。",54K55p-T44OG44Oz44K744Kk5bCR5aWz44CC,2021-04-23,,
"AFTERS",QUZURVJT,2023-06-01,,
"フューチャーサイダー",44OV44Ol44O844OB44Oj44O844K144Kk44OA44O8,2022-09-16,,
"LiVS",TGlWUw,2023-08-01,,
"SiLENT←NOiSE",U2lMRU5U4oaQTk9pU0U,2022-02-28,,
"HelloYouth",SGVsbG9Zb3V0aA,2018-07-28,,
"ほくりくアイドル部",44G744GP44KK44GP44Ki44Kk44OJ44Or6YOo,2016-06-12,,
"君と見るそら",5ZCb44Go6KaL44KL44Gd44KJ,2024-01-01,,
"ZUTTOMOTTO",WlVUVE9NT1RUTw,2023-02-04,,
"スワンスワンズ",44K544Ov44Oz44K544Ov44Oz44K6,2022-01-01,ja_wikipedia_活動期間,day
"AQA",QVFB,2023-12-24,,
"ROOKEY♡ROOKEYS",Uk9PS0VZ4pmhUk9PS0VZUw,2024-01-01,jpop_fandom_years,year
"STARRY×NIGHT↗︎",U1RBUlJZw5dOSUdIVOKGl--4jg,2024-05-05,,
"カミサマパレード",44Kr44Of44K144Oe44OR44Os44O844OJ,,,
"Aicong",QWljb25n,2003-01-01,,
"中2映画プロジェクトアイドル部",5LitMuaYoOeUu-ODl-ODreOCuOOCp-OCr-ODiOOCouOCpOODieODq-mDqA,,,
"GO TO THE BEDS",R08gVE8gVEhFIEJFRFM,2021-03-27,suggestion_medium,
"NightOwl",TmlnaHRPd2w,2019-08-23,,
"XTEEN",WFRFRU4,2018-02-05,,
"ナナランド",44OK44OK44Op44Oz44OJ,2018-07-07,,
"O'CHAWANZ HIP-HOP COLLEGE",TydDSEFXQU5aIEhJUC1IT1AgQ09MTEVHRQ,2017-01-01,,
"may in film",bWF5IGluIGZpbG0,2021-05-01,,
"HIGH SPIRITS",SElHSCBTUElSSVRT,2016-11-13,,
"Bunny La Crew",QnVubnkgTGEgQ3Jldw,2022-05-09,,
"MAGICAL SPEC",TUFHSUNBTCBTUEVD,2021-01-01,,
"Panic Monster !n Wonderland",UGFuaWMgTW9uc3RlciAhbiBXb25kZXJsYW5k,2022-10-31,,
"花いろは",6Iqx44GE44KN44Gv,2020-02-01,,
"ガラチア",44Ks44Op44OB44Ki,2023-10-01,,
"トナリア",44OI44OK44Oq44Ki,,,
"BAD IVY",QkFEIElWWQ,2013-01-01,,
"FULIT BOX",RlVMSVQgQk9Y,2024-04-12,,
"ai*ai",YWkqYWk,2022-01-24,,
"AVACLUB",QVZBQ0xVQg,2003-01-01,,
"Malcolm Mask McLaren",TWFsY29sbSBNYXNrIE1jTGFyZW4,2015-09-01,,
"Ange☆Reve",QW5nZeKYhlJldmU,2014-03-29,,
"神使轟く、激情の如く。",56We5L2_6L2f44GP44CB5r-A5oOF44Gu5aaC44GP44CC,2017-01-01,jpop_fandom_years,year
"アップアップガールズ（仮）",44Ki44OD44OX44Ki44OD44OX44Ks44O844Or44K677yI5Luu77yJ,2024-11-18,suggestion_medium,
"じゅじゅ",44GY44KF44GY44KF,2014-03-29,ja_wikipedia_活動期間,day
"ふわふわ",44G144KP44G144KP,2015-08-24,,
"アップアップガールズ（２）",44Ki44OD44OX44Ki44OD44OX44Ks44O844Or44K677yI77yS77yJ,2017-01-01,ja_wikipedia_活動期間,year
"ピューパ!!",44OU44Ol44O844ORISE,2017-01-01,ja_wikipedia_lead_結成,year
"KissBee",S2lzc0JlZQ,2014-01-01,,
"都内某所",6YO95YaF5p-Q5omA,2022-12-01,,
"SAY-LA",U0FZLUxB,2014-12-21,,
"エラバレシ",44Ko44Op44OQ44Os44K3,2016-03-02,suggestion_medium,
"KiSS KiSS",S2lTUyBLaVNT,2023-03-01,,
"にっぽんワチャチャ",44Gr44Gj44G944KT44Ov44OB44Oj44OB44Oj,2020-03-01,,
"MiiS",TWlpUw,2021-01-23,,
"グデイ",44Kw44OH44Kk,2020-02-01,,
"I MY ME MINE",SSBNWSBNRSBNSU5F,2021-06-03,,
"WT☆Egret",V1TimIZFZ3JldA,2014-01-01,jpop_fandom_years,year
"NEOTOKYO-TRIBE",TkVPVE9LWU8tVFJJQkU,2023-01-01,jpop_fandom_years,year
"ハニースパイスRe.",44OP44OL44O844K544OR44Kk44K5UmUu,2012-01-01,jpop_fandom_years,year
"GANGDEMIC",R0FOR0RFTUlD,2021-05-19,,
"ゑんら",44KR44KT44KJ,2018-02-01,,
"RaRaJaM",UmFSYUphTQ,2024-11-22,,
"Charm Poche",Q2hhcm0gUG9jaGU,2024-02-17,,
"ヲドルマヨナカ",44Oy44OJ44Or44Oe44Oo44OK44Kr,2021-12-30,,
"Beauty Box",QmVhdXR5IEJveA,2021-01-01,ja_wikipedia_活動期間,year
"悪魔のキッス",5oKq6a2U44Gu44Kt44OD44K5,2022-04-01,,
"放課後プリンセス",5pS-6Kqy5b6M44OX44Oq44Oz44K744K5,2011-08-07,ja_wikipedia_活動期間,day
"マジカル・パンチライン",44Oe44K444Kr44Or44O744OR44Oz44OB44Op44Kk44Oz,2015-11-01,suggestion_medium,
"MELLOW MELLOW",TUVMTE9XIE1FTExPVw,2017-10-01,,
"SAKA-SAMA",U0FLQS1TQU1B,2016-12-01,,
"浪江女子発組合",5rWq5rGf5aWz5a2Q55m657WE5ZCI,2019-01-01,jpop_fandom_years,year
"校庭カメラガールドライ",5qCh5bqt44Kr44Oh44Op44Ks44O844Or44OJ44Op44Kk,2017-01-01,jpop_fandom_years,year
"星歴13夜",5pif5q20MTPlpJw,2018-01-01,ja_wikipedia_活動期間,year
"ambitious",YW1iaXRpb3Vz,2021-03-27,,
"fancylabo",ZmFuY3lsYWJv,2003-01-01,,
"RIRYDAY",UklSWURBWQ,2024-07-01,,
"UNBS",VU5CUw,2014-01-01,jpop_fandom_years,year
"終わらないで、夜",57WC44KP44KJ44Gq44GE44Gn44CB5aSc,2018-09-21,,
"ネコプラpixx.",44ON44Kz44OX44OpcGl4eC4,2016-12-24,,
"ワッツ◎さーくる",44Ov44OD44OE4peO44GV44O844GP44KL,2021-01-01,jpop_fandom_years,year
"OS☆U",T1PimIZV,2010-08-01,,
"ふぇありーているず！",44G144GH44GC44KK44O844Gm44GE44KL44Ga77yB,2018-04-10,suggestion_medium,
"ideal peco",aWRlYWwgcGVjbw,2023-09-18,,
"サクヤコノハナ",44K144Kv44Ok44Kz44OO44OP44OK,2017-03-11,,
"POPPiNG EMO",UE9QUGlORyBFTU8,2017-01-01,jpop_fandom_years,year
"SAI²Rium",U0FJwrJSaXVt,2022-07-22,,
"なんキニ！",44Gq44KT44Kt44OL77yB,2017-09-05,,
"SANDAL TELEPHONE",U0FOREFMIFRFTEVQSE9ORQ,2017-07-01,,
"SAiNT SEX",U0FpTlQgU0VY,2017-10-02,ja_wikipedia_lead_結成,day
"愛乙女☆DOLL",5oSb5LmZ5aWz4piGRE9MTA,2019-10-01,,
